logP,qed,mw,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30
2.345,2.356,1.522,00000,01101,10010,01101,00110,01101,00110,10000,01101,00110,01011,00001,01101,10100,01011,00110,10100,00101,01101,01101,10001,01101,10100,01100,10111,11000,11000,11000,11000,11000,11000
2.148,1.178,0.474,00000,01101,01101,01101,01101,01101,01101,10001,00110,01011,01101,10001,01101,10100,00001,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.104,2.258,1.917,00000,10010,00110,10001,01101,00110,01101,00110,01101,01011,01101,01110,00110,10100,00001,01101,10100,00010,10010,01101,01101,10010,10100,01011,10111,11000,11000,11000,11000,11000,11000
1.805,2.062,1.369,00000,01101,10010,01101,01011,10100,10010,01101,01101,00100,01101,01000,10001,01101,00110,01101,00110,01101,00110,10100,00100,10100,10001,10111,11000,11000,11000,11000,11000,11000,11000
1.848,2.454,1.586,00000,01101,10001,01101,00100,01101,01000,01101,00110,01101,01011,01101,01110,00111,10001,00110,10100,00001,01110,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.192,2.749,1.37,00000,01101,01101,00110,01101,00110,01011,10010,01101,00110,10100,00100,01101,01101,01011,01101,01101,10001,10010,01101,10010,10100,10010,10111,11000,11000,11000,11000,11000,11000,11000
2.236,1.865,0.812,00000,10001,01101,01101,01101,00110,10000,01101,00110,01101,00110,01101,00110,10100,00101,10100,00100,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.119,1.473,0.609,00000,01101,00110,10001,00110,01101,01011,01100,01101,01101,01101,01101,10001,10100,01011,00110,10100,10010,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.294,2.553,1.522,00000,01101,10010,01101,00110,01101,00110,01101,00110,10001,01011,00001,01101,10100,01011,00110,10100,00101,01101,01101,10001,01101,10100,01100,10111,11000,11000,11000,11000,11000,11000
2.382,1.865,1.489,00000,01101,10001,01101,00110,01011,10010,01101,00110,01101,00110,01101,00110,10100,00100,10100,00101,01101,01101,10001,01101,01101,10100,00111,10111,11000,11000,11000,11000,11000,11000
0.438,0.982,2.046,00000,01101,01101,01011,01101,01101,01101,01011,00100,01101,00100,01101,01000,10010,10001,01101,00100,01101,01000,01101,01101,10100,01011,10110,10100,10001,00100,01101,01000,01000,10111
2.696,2.16,1.168,00000,01101,10110,01101,00110,01101,00110,01011,00001,01101,01101,01011,01101,01101,10001,01101,00110,10100,00010,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
0.891,1.669,1.268,00000,10001,10110,00100,01101,01000,00100,01101,01000,01101,00110,01101,00110,01011,10100,01101,10010,01101,00110,10100,01100,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000
0.117,0.589,1.149,00000,10001,01101,00111,10001,00110,01011,00101,10110,01011,01101,10001,00100,01101,01000,01000,10110,10100,00101,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
1.49,2.454,1.995,00000,10001,10110,00100,01101,01000,00100,01101,01000,01101,00111,01101,00110,01101,00110,01011,01101,10010,01101,00110,10100,00001,10110,10100,00010,10111,11000,11000,11000,11000,11000
0.921,2.062,1.505,00000,10001,10110,00100,01101,01000,00100,01101,01000,01101,00110,01101,00110,01011,10101,01101,01101,10010,01101,00110,10100,00101,10111,11000,11000,11000,11000,11000,11000,11000,11000
2.674,2.258,1.878,00000,10010,00110,10001,01101,00110,01101,00110,01101,00110,10100,00100,01101,10100,00101,10110,01101,01101,10110,10100,01011,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000
3.142,2.356,2.314,00000,01010,01101,00110,01101,00110,10000,01101,00110,01011,00001,01101,10100,01011,00110,10100,00101,01101,01101,10001,00110,10100,01100,10111,11000,11000,11000,11000,11000,11000,11000
1.483,2.651,1.487,00000,10001,01101,00100,01101,01000,01101,00110,10001,00111,01101,01011,00101,01101,00110,01101,00111,01101,00110,10100,00100,00110,10100,10001,10111,11000,11000,11000,11000,11000,11000
2.177,2.847,1.404,00000,01101,10010,01101,00110,01101,00110,01011,10100,10010,01101,01101,01011,00001,01101,01101,01011,01101,01101,10001,00110,10100,10001,10111,11000,11000,11000,11000,11000,11000,11000
2.579,1.276,0.981,00000,01101,00111,01101,01101,01101,00110,10100,00100,10000,01101,00110,01101,00110,01101,00110,10100,00101,10100,00100,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.199,0.884,0.575,00000,10001,01101,00111,01101,00110,01101,00110,01101,00110,10100,00100,01101,01101,10100,00010,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.287,1.374,1.015,00000,01101,00110,01101,00110,01101,00100,10101,00110,10100,00100,01101,00110,10001,10100,00100,01101,01101,10001,01101,10100,00100,10111,11000,11000,11000,11000,11000,11000,11000,11000
