logP,qed,mw,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33
1.796,1.795,1.837,00000,10001,10001,01000,10001,00111,10001,00111,10001,01111,10001,10011,00111,11011,00001,10001,01111,10001,10111,00111,11011,10111,10001,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.974,3.067,2.767,00000,10001,11000,10001,00111,10001,00111,01111,10001,01110,10001,00111,11011,00001,10001,10001,10111,10001,01111,10001,10001,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.32,0.299,0.987,00000,10111,00011,10001,00111,10111,10001,00111,10111,00111,10001,11011,00101,01000,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.668,1.047,1.281,00000,10001,10001,00101,10001,01001,10001,00111,10001,10001,10001,10001,10001,10001,11011,10000,10111,11011,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.004,1.122,1.406,00000,10001,00111,10111,00111,10001,01111,10111,10111,10001,10001,10001,10001,11011,01111,10001,10001,11011,00101,00111,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
0.323,0.15,1.711,00000,10001,10111,10001,00101,10001,01001,10110,10001,00101,10001,01001,10001,00111,11011,10000,10110,10001,00101,10001,01001,10111,11011,00101,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111
2.203,2.244,1.865,00000,10001,10001,10001,10111,10001,10001,10001,10001,00111,10001,01111,10001,10011,00111,10001,00111,11011,00001,10001,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.545,1.197,1.113,00000,10001,10001,01111,10001,10001,10111,10001,00111,10001,00111,01111,10001,11000,10001,11011,00001,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.622,0.898,0.946,00000,10001,10001,10001,01111,11011,10001,10001,10001,10001,10111,10001,11011,00001,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.227,1.346,1.308,00000,10111,10001,10001,01111,10001,11000,10001,11000,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.575,1.496,1.474,00000,10001,11000,10001,10111,11000,10001,00101,10001,01001,10001,00111,10001,00111,10001,00111,11011,00101,11011,00010,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.577,0.224,1.908,00000,11101,10001,10001,10001,10001,10001,10001,11000,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.927,2.768,2.656,00000,10111,10001,10001,01111,00001,10001,10001,00101,10001,01001,11000,10001,00111,10001,01111,10001,01110,00111,11101,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.063,2.02,1.85,00000,10001,11000,10001,00111,01111,00101,10001,01111,10001,10001,01001,10001,01111,10001,11000,00111,10001,11000,10001,00111,10001,11011,01000,01100,01111,11110,11111,11111,11111,11111,11111,11111,11111
2.87,0.972,1.684,00000,10001,10001,00101,00010,00111,10001,00111,10001,00111,10001,00111,11011,00101,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.225,1.795,2.08,00000,10010,10001,00111,10001,00111,01111,01000,10001,10001,10001,10001,10001,10001,10001,11011,00001,10111,11011,00101,10001,01000,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.898,2.02,2.051,00000,10111,10001,01000,10001,00111,01111,10111,10001,00111,10001,00111,01111,10001,10010,10001,00111,11011,00001,10001,01111,10001,10111,01000,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111
1.516,1.346,1.363,00000,10001,10001,10001,01111,11011,10001,10001,10001,11000,10001,00101,10001,01001,10111,10001,11011,00110,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.715,2.244,2.14,00000,10001,10111,10001,01000,10001,01111,10001,01110,00111,10111,10001,00111,10111,00111,11011,00010,11011,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.702,0.524,2.004,00000,10001,10111,11010,00101,10001,01001,01111,00010,10111,10001,10001,11011,11011,01111,10001,10001,10001,10111,10001,10001,11011,11011,01111,10001,10001,10001,11110,11111,11111,11111,11111,11111,11111
1.673,2.319,1.782,00000,10111,10001,10001,10001,00111,10111,01111,00010,10001,10001,00111,10001,00111,10001,00111,11011,00101,10001,01000,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.157,0.449,1.753,00000,11000,00111,01111,00010,10001,00111,10001,10001,00111,11000,10001,01100,01111,10001,00111,10001,00111,10001,01000,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.847,1.945,1.795,00000,10001,00111,10001,01111,00110,10111,10001,10001,10111,10001,10001,11011,00101,00111,11000,10001,00111,10001,11011,01111,00111,11011,00011,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.944,2.094,1.892,00000,10001,10001,01111,10001,10001,01111,10001,10001,10001,10001,00111,10001,01000,10001,01111,10001,11000,00111,11011,00001,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111,11111,11111
1.138,1.047,1.433,00000,10001,10001,11101,00101,10001,01001,00101,10001,01001,10001,01000,11000,10111,00111,11011,01111,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.303,1.197,1.475,00000,10001,10111,10001,10001,10001,01111,00010,11000,10001,00111,10111,00111,10001,01000,11011,00101,10001,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.223,0.374,0.876,00000,10111,10001,00101,10001,01001,10001,00111,10001,00111,10001,00111,11011,00101,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.634,2.169,2.087,00000,11000,00111,01111,10001,11000,10001,10001,11101,10001,01111,00010,10001,00111,10001,00111,10001,00111,11011,00101,11000,01000,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.021,1.72,1.614,00000,10001,11000,10001,00111,10001,00111,10001,00111,10111,00111,11011,00101,10001,00111,11011,00010,11000,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.252,0.823,0.876,00000,10001,10111,10001,00101,10001,01001,10001,00111,10001,00111,10001,01000,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.741,2.169,1.698,00000,10001,11000,10001,00111,10001,00111,01111,00001,10001,10001,01111,10001,10001,10111,10001,00111,11011,00010,11000,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.533,0.972,1.405,00000,10001,10001,00111,10001,00111,10001,01000,10001,01111,10001,10111,01000,10001,01111,10001,10111,00111,11011,10111,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.821,1.87,1.863,00000,11000,00111,01111,10001,11000,10001,00111,10001,01111,10001,11000,00111,10001,01111,10001,10011,00111,10001,00111,10001,11011,00001,01000,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111
1.719,0.673,1.906,00000,10001,10001,01111,01000,10001,10001,10001,11011,11011,10001,10001,00111,11000,10001,01100,01111,10111,01111,10001,11000,10001,01111,10001,10111,01001,11110,11111,11111,11111,11111,11111,11111,11111
1.252,0.598,0.807,00000,10001,10001,01111,10001,10001,10001,10001,01111,10001,10111,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.206,0.673,1.948,00000,10001,00111,01111,10001,10001,10001,10001,10111,10001,01111,00101,10001,00101,10001,01001,11000,10001,11011,10000,10001,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111,11111,11111
1.023,1.421,1.502,00000,10111,10001,10001,10001,10111,01111,10000,10111,10001,00111,10001,00111,11011,01111,10001,00101,10001,01001,11000,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.615,0.524,1.506,00000,10010,10001,00111,10001,01111,10001,10010,00111,10001,01111,10001,10010,00111,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.762,2.094,2.106,00000,11000,00111,11000,10001,01111,11011,10001,11000,10001,00111,11011,00001,10001,00111,10001,00111,10001,01111,10001,10010,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
0.964,0.449,2.171,00000,10111,10001,10001,01111,10001,11000,10001,00111,10001,00111,10001,00101,11100,00111,11011,00101,10111,11101,00101,10001,01001,00101,10001,01001,10111,11011,10000,11110,11111,11111,11111,11111,11111
1.715,1.197,1.753,00000,10001,10001,00111,01111,01000,10111,10001,00101,10001,01001,10001,10001,10001,01111,10001,10001,10001,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.246,2.394,2.239,00000,10111,10001,01000,10001,00111,10001,00111,10001,01111,00010,11000,10001,01111,10001,10011,01111,10001,10011,10011,00111,11011,11000,11101,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111
1.656,0.748,1.92,00000,10001,11000,10111,00111,10001,00111,10001,01111,11011,11000,10001,00111,01111,10001,11000,10001,01111,11011,11000,10001,00111,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.214,0.972,1.502,00000,10111,10001,01111,01000,10001,10001,00111,10001,00111,10001,01111,10001,11000,00111,11011,00001,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.326,1.197,1.448,00000,10001,10001,10001,10001,10001,10111,10001,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
0.938,1.272,1.822,00000,10111,10001,00101,10001,01001,10001,10111,10001,00101,10001,01001,10001,00101,10001,01001,10001,00111,10001,00111,10001,00111,11011,00101,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111
1.376,0.898,1.085,00000,10001,10001,10001,10111,10001,10001,11011,01111,10001,00111,10110,10001,01000,11011,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.872,1.346,1.239,00000,10001,00111,10111,00111,10001,01111,00110,10001,10001,10001,10001,10001,10111,11011,00101,00111,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.602,1.496,1.866,00000,10111,10001,10001,10001,10001,01111,00110,10001,10001,10001,10001,10001,10001,11011,00101,01111,01111,10001,10001,11011,10111,10001,10001,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111
2.186,1.646,2.032,00000,10001,10001,10111,10001,01111,00110,10001,00111,10001,00111,10001,00111,11011,00101,01000,10111,01111,10001,10001,10001,11011,10111,01101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.983,2.094,1.796,00000,10001,10001,00111,10001,01111,10001,10001,00111,01111,00110,10001,10001,01000,10001,10001,10111,11011,01111,10001,01111,10001,10001,00111,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111
1.681,1.346,1.642,00000,10111,10001,00101,10001,01101,10001,00111,10001,00111,10001,00111,11011,00101,10001,10001,10001,11011,01111,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.55,1.197,1.683,00000,10001,10111,10001,00101,10001,01001,10111,10001,00111,10001,00111,01111,00101,10001,00101,10001,01001,11000,10001,00111,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.8,1.571,1.837,00000,10001,00111,11000,10001,01111,01000,10001,10111,10001,10001,10001,10001,00111,10110,10001,01000,11011,01111,00111,11011,00011,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.541,1.272,1.67,00000,10001,10001,01000,10001,01111,00011,10001,10001,10001,10001,10111,01111,01111,10001,10001,11011,00001,10001,11011,10000,01000,11000,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111
1.537,1.795,1.517,00000,10001,10001,01111,10001,10001,11000,10001,01000,11000,10001,00111,11011,01111,10001,10111,10001,10001,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.392,0.748,1.349,00000,11000,01101,00101,10001,01001,10111,10001,00111,10001,00111,10001,00111,11011,00101,10111,11011,00010,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
