logP,qed,mw,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30
2.094,1.795,2.475,00000,01101,10000,00111,10000,00111,10101,10000,00111,01110,00001,10000,11010,01110,00111,11010,00110,10000,10000,10110,10000,11010,01111,11101,11110,11110,11110,11110,11110,11110,11110
2.094,1.795,2.475,00000,01101,10000,00111,10000,00111,10000,00111,01110,01111,10101,10000,11010,01110,00111,11010,00110,10000,10110,10000,10000,11010,00110,11101,11110,11110,11110,11110,11110,11110,11110
1.712,1.197,1.573,00000,10000,10110,10000,00111,01110,10111,10000,00111,10000,00111,10000,00111,11010,00101,11010,00110,10000,10000,10110,10000,11010,10110,11101,11110,11110,11110,11110,11110,11110,11110
2.261,1.795,2.447,00000,01101,10000,00111,10000,00111,10000,00111,01110,01111,10101,10000,11010,01110,00111,11010,00110,10000,01000,10000,10000,11010,00110,11101,11110,11110,11110,11110,11110,11110,11110
2.261,1.795,2.447,00000,01101,10000,00111,10000,00111,10101,10000,00111,01110,00001,10000,11010,01110,00111,11010,00110,10000,10000,10110,00111,11010,01111,11101,11110,11110,11110,11110,11110,11110,11110
1.737,1.421,1.768,00000,10000,10110,10000,00111,01110,10111,10000,00111,10000,00111,10000,00111,11010,00101,11010,00110,10000,10000,10110,10000,10000,11010,01000,11101,11110,11110,11110,11110,11110,11110
1.707,0.898,1.378,00000,10000,00111,10000,00111,10000,00111,01110,01111,10101,10000,11010,01110,00111,11010,00110,10000,10110,10000,10000,11010,00110,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.953,1.646,1.504,00000,10000,11100,10000,00111,10000,00111,01110,00001,10000,10000,01110,10000,10000,10110,10000,00111,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.707,0.898,1.378,00000,10000,00111,10000,00111,10000,00111,01110,01111,10101,10000,11010,01110,00111,11010,00110,10000,10000,10110,10000,11010,00110,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.415,1.421,1.836,00000,10111,00111,10110,10000,00111,10000,00111,10000,00111,11010,00101,10000,11010,00110,10111,10000,10000,10000,10111,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.616,0.972,1.016,00000,10110,10000,10000,00111,10101,10000,00111,10000,00111,10000,00111,11010,00110,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.782,2.394,1.865,00000,10000,10000,10000,01110,11001,10000,10000,00111,10000,00111,10000,00101,11011,00111,11010,00101,10111,10000,10111,11010,00101,10110,10000,11101,11110,11110,11110,11110,11110,11110
2.261,1.795,2.447,00000,01101,10000,00111,10000,00111,10000,10101,10000,00111,01110,00101,10000,11010,00110,01011,01110,10000,10000,10110,00111,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110
1.636,1.421,1.211,00000,10110,10000,10000,10000,00111,10101,10000,00111,10000,00111,10000,00111,11010,00110,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.878,1.87,1.767,00000,10000,10111,10000,00111,10000,00111,10000,10000,00111,01110,00001,10101,10000,11010,00110,01011,01110,10000,01000,10000,10000,11010,01111,11101,11110,11110,11110,11110,11110,11110
1.878,1.87,1.767,00000,10000,10111,10000,00111,10000,00111,10000,00111,01110,01111,10101,10000,11010,01110,00111,11010,00110,10000,01000,10000,10000,11010,00110,11101,11110,11110,11110,11110,11110,11110
1.712,1.795,1.795,00000,10000,10111,10000,00111,10000,00111,10101,10000,00111,01110,00001,10000,11010,01110,00111,11010,00110,10000,10000,10110,10000,11010,01111,11101,11110,11110,11110,11110,11110,11110
1.908,1.945,2.344,00000,10111,00111,10110,10000,00111,10000,00111,01110,10000,10001,10000,00111,11010,00001,10000,11010,00010,10111,10000,10000,11100,11010,01110,11101,11110,11110,11110,11110,11110,11110
1.606,2.094,1.67,00000,10000,10000,00111,01110,00001,10000,10000,01110,10000,10000,10110,10000,00111,10000,00111,11010,00010,10111,10000,10111,11010,01110,11101,11110,11110,11110,11110,11110,11110,11110
1.606,2.094,1.67,00000,10000,10000,00111,10000,01110,00001,10000,10000,01110,10000,10000,10110,00111,10000,00111,11010,00010,10111,10000,10111,11010,01110,11101,11110,11110,11110,11110,11110,11110,11110
2.165,1.122,1.739,00000,10000,10111,10000,00111,10000,00111,10000,00101,11011,00111,11010,00101,10101,10000,00111,10110,00111,10000,00111,11010,00101,11010,00010,11101,11110,11110,11110,11110,11110,11110
1.606,2.094,1.67,00000,10000,10000,00111,10000,00111,01110,10111,10000,00111,11010,00101,10000,10000,01110,10000,10000,10110,10111,10000,10111,11010,10111,11101,11110,11110,11110,11110,11110,11110,11110
1.893,2.319,2.614,00000,10000,10000,01110,10000,10110,10000,10000,00111,10000,00111,01110,10000,10100,10000,00111,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.838,1.72,1.42,00000,10000,10000,01110,10000,10110,10000,10000,00111,10000,00111,10000,00101,11011,00111,11010,00101,10000,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.546,1.72,2.12,00000,10111,00111,10110,10000,00111,10000,01110,10000,10001,00111,10000,00111,11010,00001,10000,11010,00010,10111,10000,10000,10111,11010,01110,11101,11110,11110,11110,11110,11110,11110
1.591,1.122,0.863,00000,10000,10000,01110,10000,10110,10000,10000,00111,10000,00111,10000,00111,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.455,1.795,1.475,00000,10000,10000,01110,10000,10110,10000,10000,00111,10000,00111,10000,00101,11011,00111,11010,00101,10111,10000,10111,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.218,1.197,1.641,00000,10111,00111,10110,10000,00111,10000,00111,10000,00111,11010,00101,10000,11010,00110,10111,10000,10000,10111,11010,01110,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.228,0.972,1.836,00000,10000,10110,10000,00101,10000,01001,10000,01110,00001,10111,10000,10000,10111,11010,01110,10000,00111,10000,00111,10000,00111,11010,00101,11010,00111,11101,11110,11110,11110,11110
1.515,1.496,1.448,00000,10000,10111,10000,00111,10000,00111,01110,00101,10000,00111,11010,00101,10000,10000,10000,01110,10000,10110,10000,11010,00110,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.546,1.72,2.12,00000,10111,00111,10110,10000,00111,10000,00111,01110,10000,10001,10000,00111,11010,00001,10000,11010,00010,10111,10000,10000,10111,11010,01110,11101,11110,11110,11110,11110,11110,11110
1.374,1.421,1.836,00000,10000,10000,00111,10000,00111,10000,00101,11011,00111,11010,00101,10000,01110,00001,10111,10000,10000,10111,11010,01110,10000,00101,10000,01001,10110,11010,10111,11101,11110,11110
1.974,1.646,1.885,00000,10001,10000,00111,10000,00111,01110,10110,10000,10000,10000,10000,10000,10000,11010,00101,10110,11010,01110,10000,01000,11010,01000,11101,11110,11110,11110,11110,11110,11110,11110
1.717,0.748,1.405,00000,10000,10000,00111,10000,01110,10000,10111,01000,10000,00111,10000,01110,10000,10110,00111,10000,00111,11010,10110,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.777,1.047,1.419,00000,10000,10000,00111,10000,01110,10000,10111,01000,10000,00111,10000,01110,10000,10111,00111,10000,00111,11010,10110,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.671,1.047,1.378,00000,10000,00111,10000,00111,10000,00101,11011,00111,11010,00101,10000,00111,10110,11010,00101,10000,10000,10110,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.677,1.945,1.795,00000,10000,10111,10000,00111,10000,00111,10000,00111,10110,01110,00001,10000,11010,01110,00111,11010,00110,10000,10000,10110,10000,11010,01111,11101,11110,11110,11110,11110,11110,11110
1.677,1.945,1.795,00000,10000,10111,10000,00111,10000,00111,10000,00101,11011,00111,11010,00101,10000,00111,10110,11010,00101,10000,10000,10110,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110
1.369,1.122,1.392,00000,10000,00111,10000,00111,10000,00101,11011,00111,11010,00101,10110,00111,10110,11010,00101,10000,10000,10110,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.692,1.795,1.572,00000,10000,00111,10000,00111,10111,10000,01110,01111,10000,01000,10000,10000,10110,11010,01110,00111,10000,11010,00010,00111,11010,00111,11101,11110,11110,11110,11110,11110,11110,11110
1.671,1.646,1.898,00000,10001,10000,01000,10000,00111,01110,10110,10000,10000,10000,10000,10000,10000,11010,00101,10110,11010,01110,10000,01000,11010,01000,11101,11110,11110,11110,11110,11110,11110,11110
0.856,1.047,1.461,00000,10111,00111,10110,10000,10000,10110,01110,00110,10000,00111,10000,00111,10110,00111,11010,00101,10110,11010,10110,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.833,1.72,1.995,00000,10110,00011,10000,00111,10000,01110,00110,10000,00111,10000,01000,10000,00111,11010,00101,01000,10110,00111,11010,10110,10001,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.546,1.72,2.12,00000,10111,00111,10110,10000,00111,10000,00111,10000,01110,10000,10001,00111,11010,00001,10000,11010,00010,10111,10000,10000,10111,11010,01110,11101,11110,11110,11110,11110,11110,11110
1.118,2.02,1.767,00000,10110,10000,00101,10000,01001,10000,00111,10110,01000,10000,01110,00110,10000,00111,10000,01000,10000,00111,11010,00101,00111,11010,10110,11101,11110,11110,11110,11110,11110,11110
1.601,2.094,2.738,00000,10111,00111,10110,10000,00111,10000,00111,01110,10000,01101,10000,00111,11010,00001,10000,11010,00010,10111,10000,10000,10111,11010,01110,11101,11110,11110,11110,11110,11110,11110
1.379,0.449,0.738,00000,10000,10000,10000,10000,10000,10110,00111,01110,10000,10110,10000,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.339,1.571,1.669,00000,10000,10111,10000,01110,11010,10111,10000,10000,00101,10000,01001,10110,10000,00111,10000,00111,10000,00111,11010,00101,11010,10110,11101,11110,11110,11110,11110,11110,11110,11110
1.546,2.02,1.865,00000,10110,11100,00101,10000,01001,00101,10000,01001,10000,00111,10000,00111,10000,00111,10000,00111,10000,00111,11010,00010,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110
0.715,1.571,1.767,00000,10110,10000,10000,10000,00111,10000,00111,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,10000,00111,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.339,0.0,0.543,00000,10000,10110,10000,10000,10000,10000,10000,11010,00101,01000,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
2.24,1.646,1.685,00000,10110,10000,01000,10000,01110,00010,10000,10000,10000,10000,10000,10000,10000,11010,00101,10000,10000,10000,11010,01000,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.873,1.945,1.601,00000,10110,10000,01000,10000,01110,00010,10000,10000,00111,10000,00111,10000,00111,11010,00101,10000,10000,10000,11010,01000,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.621,0.598,0.919,00000,10000,10110,10000,10000,10000,10000,10000,01110,11011,10000,11010,01110,10000,11010,00001,10000,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
2.185,0.748,1.504,00000,10000,10110,01110,10000,10000,10000,01110,10000,10000,10000,10000,10000,10000,01110,11011,10000,11010,01110,10000,11010,01111,01110,10000,10000,10000,11101,11110,11110,11110,11110
1.596,2.169,1.698,00000,10000,10111,10000,00111,10000,00111,01110,11010,10111,10000,10000,01110,00001,10000,10000,01110,10000,10000,10110,00111,11010,10110,11101,11110,11110,11110,11110,11110,11110,11110
2.014,0.972,1.309,00000,10000,10110,10000,01110,10000,10000,10000,10000,10000,10000,01110,11011,10000,11010,01110,10000,11010,01111,01110,10000,10000,10000,11101,11110,11110,11110,11110,11110,11110,11110
1.817,0.823,1.114,00000,10000,10110,10000,10000,10000,10000,10000,01110,11011,10000,11010,01110,10000,11010,00001,01110,10000,10000,10000,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.123,1.87,2.185,00000,10110,11100,00101,10000,01001,00101,10000,01001,10000,01000,10000,00111,10000,00111,01110,10000,10111,10000,00111,11010,00001,11100,11010,00010,11101,11110,11110,11110,11110,11110
2.014,0.972,1.309,00000,10000,10110,10000,10000,10000,10000,10000,10000,11010,00101,01110,10000,10000,10000,11010,00101,01110,10000,10000,10000,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.495,0.449,0.724,00000,10000,10110,10000,10000,10000,10000,10000,10000,11010,00101,10000,11010,01110,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.836,0.224,0.946,00000,10000,10111,10000,00101,10000,01001,10000,00111,10000,10000,10110,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.244,1.496,1.489,00000,10000,00111,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.329,1.421,1.517,00000,10000,10000,10110,10000,10000,10000,10111,10110,00111,01110,11010,10111,10000,10000,01011,00001,10000,11010,10111,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.811,0.224,0.932,00000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.576,1.496,1.865,00000,10111,00111,10110,10000,00111,10000,00111,10000,00111,11010,00101,10000,11010,00110,10111,10000,10000,11100,11010,01110,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.938,1.72,2.088,00000,10111,00111,10110,10000,00111,10000,00111,10000,00111,11010,00101,10000,11010,00110,11100,10000,10000,11100,11010,01110,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.369,1.87,1.848,00000,10000,10110,10000,00101,10000,01001,10000,00111,10000,01110,10000,10001,01000,10110,00111,11010,00001,10001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.329,1.421,1.517,00000,10000,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,01110,10000,10000,10000,10000,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.811,1.496,1.781,00000,10110,11100,00101,10000,01001,00101,10000,01001,10000,00111,10000,00111,01110,00101,10000,00101,10000,01001,10111,10000,00111,11010,00110,11101,11110,11110,11110,11110,11110,11110
0.73,1.571,1.781,00000,10110,11100,00101,10000,01001,00101,10000,01001,10000,00111,10000,00111,01110,11011,10000,10000,10111,10000,00111,11010,00110,11101,11110,11110,11110,11110,11110,11110,11110,11110
0.71,1.272,1.586,00000,10110,11100,00101,10000,01001,00101,10000,01001,10000,00111,10000,00111,01110,11010,10000,10111,10000,00111,11010,01111,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.755,0.598,1.377,00000,10110,10000,00111,10000,00111,10000,00111,11010,00101,11100,01110,10000,10110,00101,10000,01001,01001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.096,0.524,1.684,00000,10000,10110,10110,00111,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,11100,10000,11010,00110,01000,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.176,0.449,1.489,00000,10110,10000,01000,10110,00111,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,11100,11010,00110,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.755,0.598,1.377,00000,10110,10000,00111,10000,00111,10000,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,00111,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.611,0.673,1.016,00000,10110,10000,01000,10000,00111,10000,00111,10000,00111,11010,00101,10000,10000,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.576,0.898,0.933,00000,10000,10000,10000,10000,10000,10000,10110,00111,01110,10000,10110,10000,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.259,0.0,0.543,00000,10000,10000,10000,10000,10000,10000,01110,10000,10110,01000,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.057,0.673,3.128,00000,10110,10000,00111,10000,00111,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,10000,00111,11010,00010,10100,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.379,0.15,0.738,00000,10000,10000,10000,10000,01110,10000,10110,01000,10000,01110,10000,10000,10000,11010,01111,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
2.185,0.748,1.504,00000,10000,10110,01110,10000,10000,10000,10000,10000,10000,10000,10000,11010,00101,01110,10000,10000,10000,11010,00101,01110,10000,10000,10000,11101,11110,11110,11110,11110,11110,11110
1.007,0.075,1.141,00000,10000,10111,10000,00101,10000,01001,10000,00111,10000,10000,10110,01110,10000,10000,10000,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.133,0.898,1.322,00000,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,01110,10000,10000,10000,10000,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.158,1.496,1.656,00000,10000,10000,00011,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.606,2.992,2.586,00000,10000,00111,01110,10000,01101,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.962,1.197,1.461,00000,10000,00011,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.44,1.795,1.684,00000,10000,10000,00111,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.48,2.169,1.712,00000,10000,10000,01110,10000,10000,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.962,0.972,1.127,00000,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.239,1.945,1.878,00000,10110,11100,00101,10000,01001,00101,10000,01001,10000,00111,10000,00111,10000,00111,10000,00111,10110,00111,11010,00010,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110
1.354,1.945,1.517,00000,10000,10000,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.354,1.795,1.517,00000,10000,10000,01110,10000,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.984,3.142,2.795,00000,10000,10111,10000,00111,10000,01110,00001,10000,10000,01110,10000,10000,10110,00111,01110,11010,10111,10000,10000,00111,11010,10110,01101,11101,11110,11110,11110,11110,11110,11110
1.531,0.598,1.293,00000,10110,10000,01000,10000,01110,00110,10000,01110,10000,10010,01110,10000,10010,10010,10000,10000,10000,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.551,1.795,1.712,00000,10000,10000,10000,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.158,1.571,1.322,00000,10000,10000,10111,10000,01000,10111,10000,00111,11010,01110,10000,10110,10000,10000,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.138,1.646,2.474,00000,10110,10000,00111,10000,00111,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,10000,00111,11010,00010,01101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.826,0.823,1.628,00000,10110,10000,00111,10000,00111,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,10000,00111,11010,00010,10010,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.081,1.047,2.268,00000,10000,10000,00101,10000,01001,10110,00111,11100,10000,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,01000,10110,11010,00110,10000,11101,11110,11110,11110,11110,11110
0.362,0.972,2.073,00000,10000,10000,00101,10000,01001,10110,10000,01000,10110,00111,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,11100,11010,00110,11101,11110,11110,11110,11110,11110,11110
1.379,0.15,0.738,00000,10000,10000,01110,10000,10000,10000,10000,10110,00111,01110,10000,10110,10000,11010,01111,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.651,0.898,0.933,00000,10000,10000,10000,10000,10000,10000,10000,10000,01110,10000,10110,01000,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
2.044,1.197,1.49,00000,10110,10000,01000,10000,01110,00110,10000,10000,10000,10000,10000,10000,11010,00101,10000,10000,10000,11010,10110,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.46,0.598,1.293,00000,10110,10000,01000,10000,10000,10000,01110,00110,10000,01110,10000,10010,01110,10000,10010,10010,10000,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.69,1.272,1.573,00000,10110,10000,10000,00111,10000,00111,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,10000,00111,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.082,1.197,1.856,00000,10110,10000,00111,10000,00111,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,10000,00111,11010,00010,10001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.755,0.598,1.377,00000,10110,10000,00111,10000,00111,01110,00110,11100,01110,10000,10110,00101,10000,01001,01001,10000,00111,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.183,0.823,1.461,00000,10000,10000,10000,10000,10000,01000,10000,01110,10000,10110,01000,10000,01110,10000,10110,00111,11010,01111,10000,11010,10110,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.445,1.72,1.808,00000,10000,10000,00101,10000,01001,10110,10000,01000,10000,01110,10000,10111,00111,10000,00111,10000,00111,10000,11010,00101,01000,11010,10111,11101,11110,11110,11110,11110,11110,11110
1.853,1.646,2.168,00000,10110,10000,01000,10000,01110,10000,10110,00111,10000,01110,10000,10001,00111,01110,10000,10001,10000,00111,10000,11010,01111,01000,11010,01000,11101,11110,11110,11110,11110,11110
1.349,0.972,1.405,00000,10000,10000,00111,10000,00111,10110,00111,01110,10000,10110,10110,00111,01110,10000,10110,10000,11010,01111,00111,11010,10110,11101,11110,11110,11110,11110,11110,11110,11110,11110
1.057,0.673,1.266,00000,10110,10000,01000,10000,01110,10000,10110,00111,10000,00101,11011,01000,11010,00001,10000,10000,10000,10000,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.415,0.972,1.419,00000,10000,10000,00111,10000,00111,10000,01000,10000,01110,10000,10110,01000,10000,01110,10000,10111,00111,11010,10110,11010,01111,11101,11110,11110,11110,11110,11110,11110,11110,11110
