Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
19,[=Branch1][C][C][C][=Branch1][C][C][=P][N][C][S][NH1][O][C][=C][C][=C][Ring1][C][=C][Branch1][C][=C][C][=C],CCC(C)PNCS[NH1]OC=CC#CC(C)C=C,3.43,0.1,286.13,Valid
20,[=Branch1][C][=C][Ring1][N][C][C][C][C][=C][Ring1][=Branch1][C][=C][Ring1][=C][C][=C][#Branch1][#Branch1][#Branch1][PH1][O][O][C][=C][Ring1][Branch2][Branch2][C][C],C1#CCC2CC=CC=C1C=C2[PH1]OOC=C,3.47,0.18,232.07,Valid
21,[C][=C][Ring1][O],C#C,0.25,0.33,26.02,Valid
22,[I][#Branch1],I,0.62,0.42,127.91,Valid
23,[C][C][C][=C][C][=C][Branch1][=Branch2][Br][C][C][=N][=Ring1][=Branch2][C][=C][Branch1][C][O][C][=C][P][NH1][=Ring1][O][Ring1][Branch2][C][C][=C][Ring1],CCC1=CC=C(Br)COC=CP[NH1]1,3.24,0.73,260.99,Valid
24,[C][=C][C][Ring1][Branch2][Branch2],C1=CC1,0.95,0.35,40.03,Valid
25,[Branch2][N][C][=C],NC=C,0.09,0.41,43.04,Valid
26,[C][=C][Branch1][N][=C][C][=C][C][=Branch1][#C][C][=C][Branch1][C][Branch1][C][=C][Ring1][F][NH1][O][Cl][Ring2][=Ring1][=Ring1][Ring2][=C][N][=S][=Branch1][C],C#CCC=CCC=CC#C[NH1]OCl,2.15,0.32,195.05,Valid
27,[C][Branch1][#C][O][=P][=Ring1][S][C][C][=C][C][C][=C][Ring1][Branch1][C][=C][N][C][=C][Ring1][Branch1][C][C][=C][Ring1][N][=S],C=1(OP=1CC2=C3CC=C2C4=C)NC=C4CC=C3S,3.12,0.52,275.05,Valid
28,[C][C][C][=C][C][=C][Ring1][O][Cl][=C][C][=C][Branch1][=Branch1][C][=O][O][C][N][C][=C][Ring1][=Branch1][C][C][C][C][N][C][C][C],C1CC=CC=C1Cl,2.46,0.45,114.02,Valid
29,[Br][Ring1][=Branch1][S][C][C][C][C][C][Br][Ring1][Branch2][N][Cl][=C][I][P][P],Br,0.58,0.4,79.93,Valid
30,[C][C][=C][C][C][=C][C][C][C][=C][=N][C][C][=C][C][=Branch1][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][C][=O][Cl][Branch1],CC=CCC=CCCC=C=NCC=CC=C,4.26,0.25,215.17,Valid
31,[C][=C][C][N][=S][Ring1],C=CCN=S,0.9,0.46,87.01,Valid
32,[C],C,0.64,0.36,16.03,Valid
33,[PH1][=P][=C][C][C][C][C][=C][C][=C][Ring1][F][F][C][Branch1][C][=C][Ring1][=O][C][=C][Ring1][Branch2][C][C][C][=C][Ring1][Branch2][C][=C],[PH1]=P=CCCCC=CC#CF,3.18,0.36,188.03,Valid
34,[C][N][Branch2][C][C][C][PH1][Branch1][Branch2][C][C][=C][Ring1][=Branch1][C][=C][Ring1][O][C][=O][Br][N][C][C][=C][Branch1][C][N][C][Branch1][C],C1N(C)[PH1]1(CC=CC=C)C=O,1.49,0.28,171.08,Valid
35,[C][C][#Branch1][#N],CC,1.03,0.37,30.05,Valid
36,[C][C][C][=C][Ring1][Branch1][C][=O][C][C][=C][C][Branch1][C][C][=C][C][=C][#Branch1][Branch2][=O][C][C][=Branch1][N][C][C][C][C][O][C],C1CC=C1C=O,0.91,0.43,82.04,Valid
37,[C][C][=C][C][N][C][C][=C][Ring1][I][Ring1][=Ring1][PH1][Branch2][C][NH1][C][Cl][=C][=S][#N][Ring2][P][#Branch2][=Ring1][#N][Ring2][PH1][=S][=P][=Branch2],CC=CCNCC#C,0.79,0.32,109.09,Valid
38,[C][C][C][PH1][=P][Ring1][=O][O][PH1][Branch2][P][#Branch2][O][C][=C][Branch1][Branch2][=Branch2][C][=C][Ring1][NH1][N][S][=S][O][=Branch1][C][#C][=C][C],CCC[PH1]#PO[PH1]OC=C(C#CNS)SOC#CCC,4.4,0.14,368.99,Valid
39,[C][C][C][C][C][=C][Branch1][C][C][=C][C][=C],CCCCC=C(C)CC=C,3.7,0.4,138.14,Valid
40,[NH1][C][C][C][=C][C][=C][Ring1][Cl][#C][C][Ring1][O][=C][C][=C][Ring1][#Branch2],[NH1]1CC2C=CC#CCC1=CC=C2,1.61,0.53,157.09,Valid
41,[C][C][C][=C][Ring1][=Branch2][C][=C][=P][=O][Branch1][O][=P][N][C][=Branch1][I][#N][PH1][Cl][=Branch1][NH1][Branch1],C1CC=C1C=C=P=O,1.69,0.49,126.02,Valid
42,[C][C][C][C][=C][C][=C][C][Branch1],CCCC=CC=CC,2.92,0.49,110.11,Valid
43,[C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=C][Ring1][O][O][#C][=Ring1][N][NH1][S][=Branch1][Ring2][F][=S][=S][=C][Ring1][=P],C=1C(C)C=CC=CC=C=1,2.46,0.43,118.08,Valid
44,[C][C][Ring1][O][C][C][=C][C][=C][Ring1][=O][C][Ring1][Branch1][C][=Ring1][=S][=Branch1][C][Cl],C=CCC1=CC#CC1=CCCl,2.67,0.34,164.04,Valid
45,[C][=C][C][N][C][=C][NH1][C][=C][C][Branch1][S][C][C][C][=C][C][=C][C][C][C][C][NH1][P][#C][Br][C][C][=C][Branch1][C],C=CCNC=C[NH1]C=CC(CCC=CC=CCCCC[NH1]P#CBr)C=C,5.7,0.13,437.16,Valid
46,[C][C][C][C][C][=C][C][=C][Ring1][=N][=Ring1][NH1][C][=C][Branch1][F][F][S][S][=Branch1][=Ring1][Ring2][#Branch2][=O][N][=Branch1][C][=O][F][NH1][Br],C1CCCC=CC#C1,2.12,0.41,106.08,Valid
47,[C][C][N][N][C][C][C][N][=C][Ring1][Br],CCNNCCCN=C,0.19,0.31,129.13,Valid
48,,N/A,,,,
49,[C][=C][Ring1][=N][P][N][N][=C][C][=C][C][C][=C][C][C][PH1][Ring2][=O][Cl][Branch1][#Branch2][=Ring1][P][Branch2][=Branch2],C1#CPNN=CC=CCC=CCC=[PH1]1,2.46,0.38,223.06,Valid
50,[C][=C][C][=C][Branch1][C][=C][Ring1][S][Branch1][C][=O][C][=C][Ring1][=C][C][=C][Ring1][NH1][#C][Branch1][C][C][C][C][C][=C][Ring1][O][C],C1=CC=C1C,1.5,0.4,66.05,Valid
51,[C][=C][C][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][C][=C][C][N][N][C][Branch1][S][N][Ring2][#C][=C][I][I][=P][Ring2][Ring2][PH1][=N],C1=C2CC=CC=C2C=C(C)CNNCN1I,2.42,0.53,329.04,Valid
52,[=O][Ring1][N][C][C][C][C][=C][C][Ring1][N][=Branch1][C][C][=C][C][=Branch1][Ring1][Branch1][C][=C][Branch1][C][C][O],O1CCCC=CC1(C)CC(C)CCO,2.52,0.7,198.16,Valid
53,[P][Branch2][=S][=Ring1][#N][Cl][=C][Ring1][Branch1][C][=C][Ring1][NH1][#C][O][C][=C][C][Branch1][=P][=C][C][=C][Ring1][O][C][Ring1][Ring2][#Branch2][C][C],P(N)Cl,0.69,0.43,82.97,Valid
54,[C][=C][=O][Branch1][#Branch1],C=C=O,0.0,0.35,42.01,Valid
55,[C][C][C][C][C][C][=C][C][C][N][=N][C][C][=C][=C][Ring1][=C][Ring1][F][O][=C][NH1][O][C][N][C][=N][=N][=C][C][=C],CC1CCCC=CCCN=NCC=C=C1,3.92,0.42,204.16,Valid
56,[C][=C][Ring1][=Branch2][C][=C][C][=C][Branch1][C][Branch1][C][=C],C#CC=CC=CC=C,1.92,0.37,104.06,Valid
57,[C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][=C][Ring1][Branch2][C][C][Ring1][=Branch2][=Ring1][=Branch1][=N],C1C=CC2=C1C=CC=C2C=C,2.9,0.57,142.08,Valid
58,[C][C][C][=C][C][=C][Ring1],CCC=CC#C,1.59,0.42,80.06,Valid
59,[C][C][C][=C][Branch1][C][=C][Ring1][=Branch1][C][C][C][C][Branch1][C][Branch1][Branch2][Branch2][C][C][C][N][C][Ring1][Branch2][C][=C][C][=C][Branch1][=Branch1],C1CC=C1C,1.73,0.38,68.06,Valid
60,[Ring1][#Branch1][#C][=Branch2][C][F][C][C][C][C][Branch1][=P][Br][#Branch1][PH1][=Ring1][=P][=Ring1][Br][N][C][=C][Branch2][C][=C][C][C][PH1][N][#N][Ring2],C(C)CC#CBr,2.14,0.5,145.97,Valid
61,[Branch2][C][=C][Ring1][=Branch1][N][=Branch1][C][=O][C][=C][=Ring1][I][#Branch2][C][Ring1][=Branch1][C][=C][Ring1][Branch2][Ring1][NH1][=S][N][=Branch1][=Branch1][NH1][P][Cl][P],C#CN(O)C#C,-0.14,0.25,81.02,Valid
62,[C][N][C][=Ring1][#Branch2][Ring1][Ring1][Branch1][=S][=O],C#1NC#1,-0.49,0.36,39.01,Valid
63,[C][C][C][C][=C][#C][=Branch2],CCCC=C=C,2.13,0.45,82.08,Valid
64,[C][=C][Branch1][C][=C][=C][=Ring1][Branch1][C][C][C][C][C][C][=C][C][=Branch1][C][=O][Branch1][#Branch2][C][C][Branch1][C][C][=C][Ring1][Branch1][#Branch1][Branch1],C=1=C(C)C=1CCCCCC=CC(=O)CC(C)=C,4.51,0.25,230.17,Valid
65,[I][#Branch2][N][C][=Branch1][C][=C][Ring1][=C][C][=C][O],INC=C,1.07,0.46,168.94,Valid
66,[C][N][C][C][=C][C][=C][C][C][N][=C][N][C][=C][Ring1][C][Branch1][C][=C][C][C][=C][#Branch1][P][C][Ring1][C][=C][Branch1][Branch2][C],CNCC=CC=CCCN=CNC#CC=CCC=C=C=CC,3.12,0.13,295.2,Valid
67,[F][C][=C][C][=C][C][=N][#Branch1],FC=CC=CC=N,1.68,0.4,99.05,Valid
68,[F][C][=C][C][C][=C][Ring1][=Branch1][=S][NH1][=Ring1][=S][=Ring1][PH1][=O][Ring1][=Branch1][C][=C][F][C][=C][=N][#C][=C][Ring1][Branch1][C][=C][Branch1][C],FC=CCC=CS=[NH1],1.95,0.55,133.04,Valid
69,[C][N][#N][I][#Branch2],CN=NI,1.42,0.39,169.93,Valid
70,[PH1][NH1][Cl][=C][C][=C][Branch1][C][=Branch1][S][=Branch2][C][C][Branch2][Branch2][=N][Branch1][Ring2][NH1][Br][C][C][=C][C][Branch1][C][=C][Ring1][Ring2][#Branch1][=P],[PH1][NH1]Cl,0.79,0.34,81.96,Valid
71,[C][#C][N][C][=C][C][=N][C][Branch1][#Branch2][PH1][NH1][=P][F][F][NH1][=Ring1][#C][=C][Ring1][N][C][=C][Ring1][Branch1][C][C][PH1][NH1][=P][=S],C1#CNC=CC=NC1([PH1][NH1]PF)C=CCC[PH1][NH1]P=S,2.94,0.25,366.0,Valid
72,[PH1][C][C][=C][F][C][=C][Ring1][=Branch1][C][=C][C][I][=N][=P][Br][C][=C],[PH1]CC=CF,1.61,0.43,91.01,Valid
73,[C][Branch1][C][Ring1][N][C][C][=C][C][C][Ring1][=Branch1][C][=C][N][C][C][=C][C][Branch1][=Branch1],C1CC=CCC1C=CNCC=CC,3.02,0.51,177.15,Valid
74,[C][O][Cl][=C][Branch1][=Branch2][Branch1][C][N][C][=C][C][=C][C][C][=C][Branch1][C][C][C][C][C][=C][Branch1][C][C][C][=C][C][C][#Branch1],COCl,0.79,0.41,65.99,Valid
75,[C][C][=O][Branch1][C][C][Branch1][Branch1][Ring2][#Branch2][N][=C][Branch1][C][=C][Ring1][O][Cl][#Branch2][#Branch1][Cl][Ring2][#Branch2][Ring2][#Branch2][Ring2][=O],CC=O,0.21,0.36,44.03,Valid
76,[C][C][C][C][C][=C][Ring1][F][=Ring1][#N][N][C][=C][C][C][N][#Branch2][N][C][C][=Branch1][C][C][=Branch1][C][=C][C][C][=C][C][C],CCCCC#C,1.81,0.35,82.08,Valid
77,[C][Branch2][C][=C][C][=C][C][C][C][C][=C][C][=C][=C][Ring1][=Branch1][C][Branch1][=Branch2][Branch1][C][C][C][=C][Ring1][#Branch2][=Ring1][Branch2][=N][PH1][Branch1],C(C=CCCC1C2=CC3=C=C1C)(CCC=C23)=N[PH1],4.58,0.44,254.11,Valid
78,[N][C][=C][N][NH1][#Branch2][#N][P][Branch1][C][C][=C][C][C][O][N][I][Branch1][=Branch1][C][=C][Ring1][Branch1][C][=C][C][C][Ring1][O][C][=N],NC=CN[NH1]NP(C)=CCCONI,-0.16,0.14,333.02,Valid
79,[C][C][C][=C][Ring1][O][C][C][=O][P][=Branch1][N][C][C][C][C][C][=C][C][NH1][=P][=S][O][PH1][=N][Ring2][#Branch2][N][C][C][=C],C1CC=C1CC=O,1.3,0.37,96.06,Valid
80,[C][C][N][C][=C][C][=C][Branch1][=N][C][=C][=P][Ring1][O][C][C][=C][C][=C][Ring1][Branch1][C][C][C][=C][Br][PH1][NH1][O][=C][Branch1],C1CNC=CC=C(C=C=P1C2C=CC=C2)CCC=CBr,4.38,0.74,349.06,Valid
81,[C][=C][=S][=P][=P][#Branch2],C=C=S=P=P,1.31,0.34,121.95,Valid
82,[C][C][N][#Branch1][N][C][=C][C][=C][NH1][C][C][=C][C][=C][Branch1][C][=C][C][NH1][Ring2][O][C][C][=O][=O][N][C][=C][NH1][=C],C1CN(C=CC=C[NH1]CC=CC=CC)C[NH1]1,1.6,0.52,219.17,Valid
83,[Ring1][I][Branch2][C][I][Branch2][C][C][C][=O][C][C][=C][Ring1][=Branch1][C][=C][C][C][C][=C][C][=C][Ring1][=S][NH1],ICI,1.81,0.46,267.82,Valid
84,[C][C][N][O][C][C][C][C][C][N][=C][Branch2][C][Branch1][C][Branch1][=C][Branch1][#N][N][#Branch1],CCNOCCCCCN=CCNN,0.23,0.21,202.18,Valid
85,[C][C][=C][C][C][=C][C][C][=C][Ring1][Br][=N][C][=C][Ring1][=C][C][O][C][C][=C][C],C1C=CCC=CCC#CNC=C1COCC=CC,3.31,0.46,243.16,Valid
86,[C][C][C][C][=N][O][C][C][C][=C][C][C][C][C][C][C][O],CCCC=NOCCC=CCCCCCCO,3.68,0.24,241.2,Valid
87,[S][N][C][C][=C][Ring1][=Branch1][C][C][=O][F][NH1][C][Branch1][#Branch1][Br][P][NH1][C][Ring1][N][#N][Branch1][C][=C][Ring1][N][NH1][F][Ring1][=Branch1],S1NCC=C1CC=O,0.71,0.44,129.02,Valid
88,[=O][N][C][=C][C][=C][Branch1][PH1][=P][=O][C][=Ring1][S][Ring1][N][C][C][=C][Ring1][=Branch1][Ring1][=Branch1][C][C][N][C][=C][S][O][C][=C],O1NC=CC=C(P)OC1,0.73,0.51,145.03,Valid
89,[C][S][=Branch1][C][N][C][=C][Branch1][C][C][Ring1],CS(N)C#CC,0.47,0.34,103.05,Valid
90,[F][C][=N][=Ring1][I][=P][#C][NH1][C][C][=C][NH1][=Ring1][S][N][C][Ring1][#Branch1][C][C][C][=C][Ring1][C][Branch1][P][=N][#Branch1][Branch2][C][O],FC#N,0.44,0.39,45.0,Valid
91,[=O][C][C][=C][C][=C][Ring1][=Branch1][=Branch1][C][C][C][=N][=C][Branch1][=O][C][N][C][Ring1][=Branch1][C][C][Branch1][C][C][C][=C][Ring1][#Branch2][O],O1CC=CC=C1CCC2=NC(C)NC2CC(C)C=CO,3.09,0.73,276.18,Valid
92,[C][=C][C][C][C][=C][C][=C][C][Ring2][PH1][Cl][Branch1][PH1][#Branch1][O][=C][Branch1][C][=C][C][=C][C][NH1][=N][Branch1][#N][#Branch2][Cl][O][C],C=CCCC=CC=C=COC(C)C=CC[NH1]NCl,3.39,0.12,268.13,Valid
93,[C][Branch1][=S][NH1][=C][N][=C][Branch1][Branch1][O],C([NH1])=CN=CO,0.33,0.36,85.04,Valid
94,[C][C][=C][Ring1],CC#C,0.64,0.35,40.03,Valid
95,[#N][=C][Ring1][Branch2][C][=C][Ring1][NH1][C][C][=Branch1][C][=Branch1][C][C][Branch1][C][Ring1][Br][=S][Branch1][P][F][I][I][Cl][O][C][C][C][C],N#CC#CCC(C1)C1=SF,1.45,0.35,155.02,Valid
96,[C][=C][#N][Ring2],C=C=N,0.42,0.38,41.03,Valid
97,[Cl][=Ring1][N][Ring2][=C][N][C][C][=C][=P][Ring2][#Branch2][C][Branch1][C][C][=C][C][=C][Ring1][C][=O][=S][Branch2][C][C][O][=C][N][O][C],Cl,0.42,0.37,35.98,Valid
98,[NH1][=Branch1][P][Branch1][Branch2][P][C][=P][S][Branch1][C][=C][C][=C],[NH1]PC=PS(C)C=C,2.26,0.49,166.0,Valid
99,[=Branch1][C][C][C][C][Branch2][C][=C][Ring1][=Branch1][C][=C][Branch1][C][=C][Ring1][#Branch2],C1CCC1,1.56,0.39,56.06,Valid
100,[N][C][Branch1][Br],NC,-0.43,0.38,31.04,Valid
