Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
49,[C][=C][S][=P][S][Ring1][S][#N][=S][=O][=P][H][=Branch2][=S][H],C1=CS=PS1#N,1.54,0.38,136.95,Valid
50,[N][=Branch1][Br][#Branch2][=Branch1][=N][=N][O],NNO,-1.16,0.24,48.03,Valid
51,[C][#Branch2][=P][O][#N][Cl][Br][Ring1][=N][N][#N][#Branch1][N][=N][=N][Ring2][S][I][C],C(#N)NC,-0.31,0.3,56.04,Valid
52,[=C][Ring1][O][=S][I][C][Ring1][=C][=N],C=SI,1.23,0.32,173.9,Valid
53,[Ring1][Cl][=Branch2][Branch2][=Branch2][F][#N][Ring1][Br][=S][=S][N][H][#N][N][I][Br][Br][C][=N][=P][=C][#N][C][PH1][=PH1][S][S][#Branch2][Br][Ring1][#Branch1],ClF,1.11,0.39,53.97,Valid
54,[C][#Branch2][#Branch2][=C][#Branch2],C,0.64,0.36,16.03,Valid
55,[C][Ring1][=N][O][H][Ring2][=C][=Branch2][C][S][=PH1][Cl][F][=C][#Branch1][O][=PH1][O][H],CO[H],-0.39,0.39,32.03,Valid
56,[C][=C][Ring2][=P][Cl][#Branch2][Branch1][#N][#Branch2][P][Cl][C][=Branch1],C#CNC,-0.2,0.3,55.04,Valid
57,[C][S][=C][=PH1][#N][#Branch2][=Branch2][PH1][#Branch1][=S][#N][Ring1][=C][=S][=C][N][=Branch2][=S][#Branch1][=N][=C][#Branch2][S][C][=O][H][S][=P][=N][#Branch2][#Branch2][PH1],C1S=C=[PH1]=N[PH1]1=N,1.81,0.3,151.97,Valid
58,[H][O][Br][=N][=P][=PH1][N],[H]OBr,0.29,0.46,95.92,Valid
59,[=Ring1][C][Ring1][=C][#N][=S][=P][I][#N][Cl][Ring1][H][P][=S][Br][=P][=C][=Branch1][C][N][N][S][Branch2][Ring2][H][F][=Branch1][=N][=N][=C][#C][Cl],C#N,0.14,0.37,27.01,Valid
60,[S][#Branch1][#Branch2][#Branch2][C][Ring1][O][H][I][PH1][Br][=C][Branch1][#Branch1][N][Br][=N][=P][=N][Cl][=C][#N][=C][Branch1][=PH1][=C][Cl][S][PH1][#N][Ring1][=Ring1],S(O[H])(I)(NBr)=C=NC(C)Cl,2.65,0.13,359.82,Valid
61,[=N][C][=P][S][#N],NC=PS#N,0.78,0.46,105.98,Valid
62,[C],C,0.64,0.36,16.03,Valid
63,[C][F][Branch2][I][=P][#Branch1][#N][S][=O][S][Ring2][C][=Branch2],CF,0.59,0.37,34.02,Valid
64,[=O][=Branch2][#N][Br][Br][#Branch1][#Branch1][=S][=Ring1][O][N][NH1][C][H][Branch1][Branch2][#Branch1][=Branch1][Br][=P][#Branch1][=Ring1][P][=S][Cl][Branch1][=Branch2][Cl][C][#Branch1][=Ring1][S],O(Br)SN[NH1]C[H],0.6,0.28,171.93,Valid
65,[N][#Branch1][F][I][#Branch1][N][#Branch1][O][=P][=P][=Ring1][H][S][Br],N(I)NP#PSBr,2.58,0.33,331.78,Valid
66,[Branch1][S][C][Ring1][=Branch2][Branch1][=C][=C][Cl][Ring2][=N][N][Br][=Branch1][P][H][Branch2][=S][=S][=C][Cl][=Branch1][#Branch1][N][I],S=C(CCl)Cl,1.79,0.3,127.93,Valid
67,[N][N][=Branch1][=N][=C][C][Branch2][#Branch2],NNCC,-0.53,0.32,60.07,Valid
68,[N][=N][=Branch2][Cl][C][=C][S][=Branch1][#Branch2][I][=C][=S][Br][Ring1][=O][S][=C][I][#Branch2][H][F][Br][#C][#Branch2][#Branch2][PH1][=P][Cl][=N][#C][O][S],N=NCl,1.17,0.41,63.98,Valid
69,[=Ring1][S][#Branch1][NH1][#C][S][#Branch1][N],S(#C)S,1.15,0.33,77.96,Valid
70,[Ring1][I][S][=P][=N][Br][=Branch1][P][#Branch1],IS=P=NBr,2.24,0.4,284.79,Valid
71,[C][#Branch1][Cl][Ring1][=O][=N][Br][=S][Branch2][#Branch1][O][Cl][=N][N][PH1][O][=N][#Branch1][=Branch1][N][P][Cl][=P][Ring1][Branch2][C][C][Ring1][H][=P][C][O],CNBr,0.52,0.45,108.95,Valid
72,[Ring1][Cl][I][=Branch2][H][H][=P][Ring1][=C][C][Branch1][=C][Ring1][=N][=S][Cl][Branch1][=Branch2],ClI,1.58,0.47,161.87,Valid
73,[C][=N][N],C=NN,-0.44,0.22,44.04,Valid
74,[C],C,0.64,0.36,16.03,Valid
75,[NH1][Cl][=N][=Branch2][Branch1][Br][Br][=C],[NH1]Cl,0.42,0.38,49.98,Valid
76,[C][Ring1][Cl][=S][O][#Branch2],C=SO,0.36,0.31,64.0,Valid
77,[C][=P][H][Br][Branch2][#C][=O][O][P][F][=Branch1][=N][=P][#Branch2][Ring1][=N][Br][Br][#Branch2][=Ring1][Br][C][N][=C][PH1][#Branch1][#N][Branch1][#Branch2][N][Br][#N],C=P[H],0.56,0.35,46.0,Valid
78,[O][=N][=O][NH1][S][#Branch1][#Branch2][PH1][Br][O][Ring1][=P][Cl][C][S][N][Ring1][=S][#Branch2][N][#Branch1][N][Branch2][=S][=O][Cl][O],O=NO[NH1]S([PH1]Br)NS=O,0.37,0.24,268.87,Valid
79,[Branch2][S][Ring1][#Branch2],S,0.11,0.36,33.99,Valid
80,[Cl][F][S][O][=C][I][=P][#N][=Branch2][C][=C][#Branch2][Ring1][Ring1][=Ring1][Cl][=S][=S][=C][H][Branch2][N][H][O][=Branch2][#C][Ring1][H][O][#N][#C][=P],ClF,1.11,0.39,53.97,Valid
81,[C][=C][#N][C][=P][#Branch2],C=C=NC=P,0.74,0.33,85.01,Valid
82,,N/A,,,,
83,[S][N][Br][C][Ring1][Branch1][H][O][C][C][Branch2][P][=Branch1][Ring1][=C][=Ring1][=C][=C][Cl][N][#N][Br][=C][C][=S][Cl][S][I][#N][#Branch1][N][#N],SNBr,0.73,0.36,126.91,Valid
84,[C][C][S],CCS,0.94,0.4,62.02,Valid
85,[Br][Branch2][#N][=N][Ring1][=Ring1][=C][C][=Ring1][O][=S][=C][Branch1][=C][Cl][=N][Branch2][S][=C][C][=N][=PH1],BrN=N,1.33,0.46,107.93,Valid
86,[C][Branch2][C][F][Branch1][O][H][Ring1][C][=Branch2][Branch2][Ring1][Cl][C][Cl][PH1][S],CO[H],-0.39,0.39,32.03,Valid
87,,N/A,,,,
88,[=C][H][P][=C][=Branch2][=S][#Branch2][Ring1][=P][=Ring1][Branch2][C][S][Ring1][O][Cl][C][#N][Ring2][=N][P][=N][Branch1][N][Ring1][Br][=C][Ring1][I][Br][#Branch2][PH1],C[H],0.64,0.36,16.03,Valid
89,[C],C,0.64,0.36,16.03,Valid
90,[N][Br][=P][=C][Cl][=Ring1][#Branch2][C][O][H][Branch1][I][=C],NBr,0.26,0.43,94.94,Valid
91,[=C][C][H][=S][C][Branch2][N][=C][#Branch1][Ring1][N][N][Br][=N][=C][#N][Branch1][S][=N],CC[H],1.03,0.37,30.05,Valid
92,[N][#N][=S][I][Ring1][=O][=C][=C][=Branch1],N#N,0.03,0.35,28.01,Valid
93,[N][=N][=PH1][N][=Branch2][H][=Branch1][=Branch1][=C],N=N[PH1]NC,0.75,0.38,91.03,Valid
94,[C][S][=C][Ring1],CS#C,0.94,0.39,60.0,Valid
95,[#N][=P][N][Cl][Cl][=Ring1][Ring1][O][H][N][#Branch1][=PH1][#Branch2][N][Cl][=S][Br],N=PNCl,1.35,0.38,95.96,Valid
96,[C][#N][#Branch1][S],C#N,0.14,0.37,27.01,Valid
97,[N][=P][N],N=PN,0.57,0.4,62.0,Valid
98,[O][#C][S][Branch1][Br][Ring1][Branch1][Br],O=CSBr,1.22,0.51,139.89,Valid
99,[=Branch1][C][O][H][Cl][C][O][=O][Ring1][=C][=C][=C][#N][Cl][#N][PH1][#N][P][Ring2][C][F][F][#N][PH1][=S],CO[H],-0.39,0.39,32.03,Valid
100,[O][Branch2][=S][=PH1][S][=S][#N],O(S)S#N,0.98,0.36,94.95,Valid
101,[Ring1][O][O][=C][P][Br][Ring1][Ring2][PH1][=N][O][=P][H][=N][Branch1][=C][=Branch2][=C][=Branch1][#C][O][=Ring1][=Branch2][=C][Br][#Branch1][H][N][H][=Branch1][I][S],OOCPBr,1.42,0.37,157.91,Valid
102,[C][C][C][=P][Br][=P][#Branch1][S][#N][#Branch2][O][=Branch2][Cl][=S][#N][I][I][=Branch2][=P][Ring2][#Branch2],CCC=PBr,2.45,0.51,151.94,Valid
103,[C],C,0.64,0.36,16.03,Valid
104,[C][=P][=P][#Branch1][C][Cl][Cl][=P][PH1][I][Br],C=P=P(Cl)Cl,2.53,0.46,147.92,Valid
105,[=C][=PH1][S][Cl][=Branch1][N][Ring1][NH1][Cl][#Branch2][H][=N][P][O][=S][N][Cl][#Branch2][=PH1][N],C=[PH1]SCl,1.9,0.47,112.94,Valid
106,[C][H][N][O][=P][Br][#C][=P][C][=PH1],C[H],0.64,0.36,16.03,Valid
107,[Ring1][PH1][C][#Branch2],[PH1]C,0.76,0.35,47.01,Valid
108,[N][Br][#N],NBr,0.26,0.43,94.94,Valid
109,[S][#N][#Branch2][=C][Cl][=C][PH1][=P][C][H][PH1][=Branch2][#Branch1][Cl][=Branch2][#Branch1][#Branch2][=N][=Branch2][=P][Branch2][Branch1][=P][PH1][=Branch2][=Branch2][NH1][=C][=Ring1][=Branch1][Ring2][#C],S#N,0.4,0.39,46.98,Valid
110,[Cl][N][#Branch2][Cl][Branch1][Br][Branch2][#Branch2][Ring1][=S][N][=C][=C][=C][O][#N][=PH1][#Branch2][Ring1],ClN(Br)SN=C=C=CON=[PH1],2.91,0.15,272.85,Valid
111,[C][S][#Branch2][Cl][Cl][Ring2][N][Ring1][#Branch1][PH1][O][=N][Ring1][I][O][S][=Branch2][S][#C][P][N][=PH1],C=S(O1)N1OSPN=[PH1],2.18,0.23,201.92,Valid
112,[C],C,0.64,0.36,16.03,Valid
113,,N/A,,,,
114,[C][#N][Cl][=N][=N][H][O][C][=Ring1],C#N,0.14,0.37,27.01,Valid
115,[#N][Cl][PH1],NCl,0.1,0.39,50.99,Valid
116,[=N][H][NH1][#N][I][I],N[H],0.16,0.4,17.03,Valid
117,,N/A,,,,
118,[C][=N],C=N,0.27,0.37,29.03,Valid
119,[O][#C][Cl][=S][Ring2][S][#C][I][P],O=CCl,0.42,0.29,63.97,Valid
120,[=O][O][=N][#Branch1][=C][P][Br][Branch2][F][=P][F][=Ring1][#Branch1][=N],OONPBr,0.88,0.36,158.91,Valid
121,[C][Branch2][=Branch2][#Branch2][=C][N],CCN,-0.03,0.41,45.06,Valid
122,[S][Cl][=S][Branch1][I][=Ring1][S][=N],SCl,1.07,0.4,67.95,Valid
123,[N][=Ring1][H][O][Br][#N][H],NOBr,0.19,0.45,110.93,Valid
124,[C][Ring1][=Branch1][C][N][=Branch1][=Branch1][Cl][=O][Branch1][Ring2][=N][N][#Branch1][S][=N][=O][=Branch1][=P][#Branch2][O][#Branch2][H][#N][#N][PH1][#N][S],CCN(Cl)NN=O,0.65,0.34,123.02,Valid
125,[N][Br][=S][C][Branch1][=Branch2][H][C][F],NBr,0.26,0.43,94.94,Valid
126,[C][=P][C][N][C][Br][Cl][=Branch1][=N][Ring1][S][=PH1],C=PCNCBr,1.26,0.29,166.95,Valid
127,[C],C,0.64,0.36,16.03,Valid
128,[N][#N][#Branch2][#Branch1],N#N,0.03,0.35,28.01,Valid
129,[S][=PH1],S=[PH1],0.59,0.37,63.95,Valid
130,[N][=Ring1][Ring1][P][=C],NP=C,0.24,0.4,61.01,Valid
131,[N][Br][S][S][I][Ring1][=C][C][NH1][#Branch2][#C][#N][#C],NBr,0.26,0.43,94.94,Valid
132,[S][=Ring1][=S][#Branch1][=N][NH1][=P][S][N][Branch1][N][Ring1][C][O][=C][=N][H][N][S][C][Ring2][#N][Ring1][Br][S],S[NH1]PS=N,0.51,0.32,127.96,Valid
133,[C][=C][=C][#N][#N][I][#Branch1][=Branch1][C][N][C],C=C=C=NNI,0.85,0.22,193.93,Valid
134,[H][=S][#Branch2][N][=S][=Branch2][#Branch2][=Branch2][Branch2][C][#N][=P][#Branch2][S][=P][PH1][=P][S][Cl][#N][Br][H][Br][N][S][#Branch1][=S][I][#N][Br][=P][#N],[H]S(P)S=P[PH1]=PSCl,3.82,0.46,260.83,Valid
135,[C][#N][=N][=P][#N][S][Br][Ring1][=Branch2][#C][=N][Ring1][Br][=S][O][Ring1][=N][N][C][Br][#Branch1][N][=Branch2][#N][=C][Cl][#C][Branch2],C#N,0.14,0.37,27.01,Valid
136,[C][S][=N][#Branch1][=Branch2][O][H][Branch1][=Branch1][=PH1][Branch2][Ring2][C][O][#N][S][#C][=C][C][H][Ring1][#N][Ring1][Ring1][H][C][C][C][C][P][=Ring1][=PH1],CS=NO[H],0.0,0.31,79.01,Valid
137,[N][N][=Ring1][=Ring1][H],N#N,0.03,0.35,28.01,Valid
138,[C][N][S][Ring1][#N][=S][=PH1][S][N][=P][Cl][O][=S][=O][I][#N][Cl][C][O][Cl][O][Br][C][Cl][N][#N][H][=P][N][=C][I][P],CN=S=S=[PH1]SN=PCl,3.32,0.53,236.87,Valid
139,[=Branch2][=S][S][Ring1][P][#N][=P],S=S#N,-0.26,0.4,78.96,Valid
140,[C][=N][Cl][H][O][=N][P][PH1][Ring1][#Branch2][O][N][C][O][Ring1][O][Br][#N][O][#Branch2],C=NCl,0.84,0.37,62.99,Valid
141,[C][N][Ring1][I][Ring2][Ring2][=O][=Branch1][N][=Branch2][C][N][Ring1][Ring1][=O][=Branch2][N][Cl][#N][Cl][N][PH1][NH1][N][#N][#Branch2][Cl][=S][H][H][C][C],C#N,0.14,0.37,27.01,Valid
142,[C][=Branch1][=S][=P][Cl][Cl][N][C][#Branch1][=N][=Branch2][=O][=C][Cl][N][=C][S][Br][N][#Branch1][S][=P][#Branch1][=C][=P][=C][Branch1][C][S][N][I][=S],C(=P)Cl,1.13,0.38,79.96,Valid
143,[C][H][=Branch1][=S][=C][H][=C][=C][=P][#Branch2][#C][Cl],C[H],0.64,0.36,16.03,Valid
144,[O][Cl][#C][Cl][C][#N][S][S][=C][=N][=C][=S][=S][Br][S][O][=Branch2][I][=PH1][S][O][Cl][=Branch2][Branch2][=Branch2][=O][Ring2][=P][NH1][#Branch1][Br],OCl,0.13,0.42,51.97,Valid
145,[O][#Branch1][=P][S][=S][=N][C][#Branch1][C][Branch2][N][Ring2],O(S)S=NC,0.39,0.37,110.98,Valid
146,[C][Cl][#Branch2][=Branch2][=N][Ring1][O][=N][Cl][C][Ring1][O],CCl,0.86,0.36,49.99,Valid
147,[#Branch2][#Branch1][H][=Branch2][#Branch1][=O][Ring1][I],[H]O,-0.82,0.33,18.01,Valid
148,[S][S][=O][C][P][=N][#N][Br][I][#N][Cl][O][H][=S][C][Ring1][H][O][=O][Branch1][N][S][Br][=O][Ring2][Cl][Branch1][#N][PH1][N][#C][O],SS=O,-0.22,0.3,81.95,Valid
149,[Cl][#Branch1][=PH1][=S],Cl[PH1]=S,1.28,0.41,98.92,Valid
150,[C][#C][=C][Ring1][#C][=P][Cl][H][Ring1][#Branch2][N][N],C1#CC1=PCl,1.79,0.44,101.94,Valid
151,[C][Ring1][N][=P][#Branch2],C=P,0.56,0.35,46.0,Valid
152,[C][=P][Ring1][Ring1][=S][#Branch1][P][=Ring1][P][PH1][=Branch2][#Branch1][Branch2][S][#Branch1][S][#C][=N],C1#P=S1[PH1]S#CN,1.51,0.46,166.92,Valid
153,[C][H][N],C[H],0.64,0.36,16.03,Valid
154,[=S][S][S][P][=PH1][#N][#Branch1][=N],SSSP=[PH1]=NN,2.72,0.23,189.9,Valid
155,[C][Cl][N][O][#N][=N],CCl,0.86,0.36,49.99,Valid
156,[C][Ring2][H][#C][O][C][H][Cl][=N][C][Ring1][Ring2],COC[H],0.26,0.38,46.04,Valid
157,[C][Cl][=C][NH1][C][=N][#N][=P][Ring1][=P][=S][N][#C][PH1][=N][=S][=PH1][=P][#Branch1][Br][#Branch1][=N][Br][Ring2][C][=Ring1][=P],CCl,0.86,0.36,49.99,Valid
158,[O][=S][O][=C][O][Branch2][=Ring1][#Branch2][C],O=SOCO,-1.19,0.34,95.99,Valid
159,[C][#Branch1][=C][C][=C][O][=C][#N][=S][#Branch1][=P][Br][Br][=Branch2][=Branch1][C][Br][Branch2][C][I][=S][Cl][=N][N][Br][=PH1][#Branch2][Cl],C(C=COC#N)Br,1.39,0.35,160.95,Valid
160,[=C][=Branch1],C,0.64,0.36,16.03,Valid
161,[N][Br][=N][Ring1][=S][=Branch1][C],NBr,0.26,0.43,94.94,Valid
162,[N][C][Br][#Branch1][N][=P][Ring1][=C][Ring2][#N][=S][Cl][PH1],NCBr,0.3,0.35,108.95,Valid
163,,N/A,,,,
164,[C][NH1][S][NH1][P][=C][H][S][=C][Ring1][NH1][Branch1][=C][O][#N][=P][=N][I][C][Cl][=S][H],C[NH1]S[NH1]P=C[H],0.65,0.33,122.01,Valid
165,[=C][Br][C][Br],CBr,1.01,0.39,93.94,Valid
166,[C][=Ring1][=Ring1][=S][=P][Cl][S][=C][=S][=S][N][=S][Ring1],C=S=PCl,1.52,0.33,111.93,Valid
167,[C],C,0.64,0.36,16.03,Valid
168,[C][=C][N][F][#Branch2],C=CNF,0.6,0.44,61.03,Valid
169,[O][=Ring1][=S][O][=C],O,-0.82,0.33,18.01,Valid
170,[C][Ring1][=C][=Branch2][C][H][C][Ring1][=P][=PH1][#Branch2][=Branch1],CC,1.03,0.37,30.05,Valid
171,[Ring1][O][Ring1][#Branch2],O,-0.82,0.33,18.01,Valid
172,[C],C,0.64,0.36,16.03,Valid
173,[O][N][=N][O][=Branch1],ON=NO,0.22,0.31,62.01,Valid
174,[C][H][=N][#Branch2][Ring1][I][#N][=O][#Branch2][=N][Ring1][Br][=O][Br][C][N][#Branch1][N][#N][NH1][=O][Cl][PH1][#Branch1][H],C[H],0.64,0.36,16.03,Valid
175,[C][#Branch1][#N][#Branch2][N][#C][O][Cl][O][Cl][Cl][F][O][PH1][Ring1][O][H][=S][#N][=C][Br][=C][=S][S][=P][=P][=N][NH1][=C][=O][=N][#Branch1],COCl,0.79,0.41,65.99,Valid
176,[C][=Branch2][=N][Ring2][=Ring1][=PH1][O][S][S][C][S][=N][=S][H][Ring1][Br][H][=PH1][=S][=Ring1][I][=P][Cl][O][=C][C][C][P][=Branch2][N][N][=Branch1],C,0.64,0.36,16.03,Valid
177,[Cl][#C][#Branch1][=S][=P][#Branch2][Cl][S][Branch2][=N][Br][=C][#C][C][#N][=PH1][H][Br][=Branch1][S][S][=P][F][=O][P][Ring1][=Ring1][Cl],ClC(=P)Cl,1.69,0.42,113.92,Valid
178,[C][Branch2][Ring1][Ring1][F][I][Branch2][H][Ring1][O][#Branch1][#Branch1][Branch1][NH1][#N][NH1][#N][N][Br][=S][=Branch2][C][Branch1][H][O][C][=C][NH1][#N][=N][=S][F],C(F)(O)C=C[NH1]N=NSF,1.28,0.38,169.01,Valid
179,[C][S][=C][O][S],CS=COS,0.7,0.29,109.99,Valid
180,[C][=N][O][#C][Branch1][Branch1][S][C][#Branch1][O][=N][S][Ring2][=N],C1=NOCSC=NS1,1.33,0.49,147.98,Valid
181,[N][=Ring1],N,0.16,0.4,17.03,Valid
182,,N/A,,,,
183,[C][=C][C][O][=N][=C][Branch2],C=CCON=C,0.8,0.21,85.05,Valid
184,[Branch1][Cl][=N][#C][=N][C][H][Br][O][C][N][#Branch2][Br][Ring1][=P][S][N][#Branch1],ClN=C=NC[H],0.94,0.4,90.0,Valid
185,[C][C][#C][#Branch1][N][C][F][#Branch1][N][S],CC#CNCF,0.48,0.28,87.05,Valid
186,[Ring1][S][PH1][Branch1][=O][C][Branch1][=P][#Branch2][=P][=P][Cl][#N][O][#Branch1][Cl][=Branch1][=P][=P][=N][=C][Br],S[PH1](C)P=PCl,3.55,0.46,176.9,Valid
187,[C][=C][Cl][Branch2][C][=C][S][F][=C][=C][=Branch1][N][Branch2][#Branch2][=Branch2][#Branch1][Ring2][=P][O][=N][=S][#Branch1][Ring1][=N][=C][=C][C][=P][O][=S][=S],C=CCl,1.37,0.4,61.99,Valid
188,[C],C,0.64,0.36,16.03,Valid
189,[C][#Branch2][Br][NH1][#Branch2][S][Ring1][S][#N][N][N][=N][S][=P][Cl][Branch2][Br][N][Branch1][F][=C][Branch1][Ring2][C][C][N][Ring1],CS#N,0.83,0.41,61.0,Valid
