Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
20,[Br][=N][=Ring1][O][C][=C][PH1][C][C][=C][Ring1][=Branch1][C][=C][Ring1][=Branch1][C][=O][#Branch1][#Branch1][#Branch2][Ring1][N],BrN,0.26,0.43,94.94,Valid
21,[C][=C][Ring1][N],C#C,0.25,0.33,26.02,Valid
22,[N][#C],N#C,0.14,0.37,27.01,Valid
23,[C][Branch1][C][=C][C][=C][Branch1][=O][=Ring1][Branch2][C][C][C][=C][C][=C][C][=C][Ring1][Branch1][C][C][NH1][=S],C1(C)C=C1CCC=C2C=CC=C2CC[NH1]S,3.59,0.53,233.12,Valid
24,[C][=C][C][O][C][=C][Ring1][#Branch2][#Branch2],C1=CCOC=C1,1.09,0.42,82.04,Valid
25,[C][C][C][=C][Ring1][N][C][=C][Ring1][Ring2][C][=C][PH1][Ring1][=Branch1],C1CC2=C1C=C2C=C[PH1],2.67,0.48,135.04,Valid
26,[C][=C][C][C][=C][C][=C][C][=C][Br][C][=C][Branch1][C][C][C][=C][Ring1][Branch1],C=CCC=CC=CC=CBr,3.58,0.48,198.0,Valid
27,[C][=C][Branch1][C][=Branch1][C][S][C][C][=C][C][Branch1][C][N][C][C][=C][C][=C][C][C][C][C][C][=C][Ring1][N][=C],C=CCSCC=CC(N1)CC=CC=CCCCCC=C1C,5.4,0.54,303.2,Valid
28,[C][C][C][=C][C][=C][Ring1][N][C][=C][C][=C][Branch1][=C][C][=C][Ring1][Branch1],C1CC=CC=C1C=C2C=CC=C2,3.32,0.55,156.09,Valid
29,[C][C][=C][Ring1][=Branch1][C][Branch1][C][C][C][C][C][C][C][=C][C][C][C][Ring1][=Branch1][F][=Ring1][NH1],C1C=C1C(C)CCCC2C=CCCC2F,4.43,0.59,208.16,Valid
30,[C][C][=C][C][C][=C][C][=C][C][=C][Branch1][C][O][C][=C][Branch1][C][=Branch1][Ring2][=C][N][C][C][C][C][=C][C][C][C][C][C],C1C=CCC=CC=CC=C(O)C=C1,3.45,0.56,174.1,Valid
31,[C][=C][C][C][=C][C][Ring1][=Branch1][F][S][C][=C][C][=C][C][=C][Ring1][#Branch2][C][=C][Ring1][Branch1][C][Branch2][N][=Branch1][=C][O][Ring1][N][=C],C1=CCC=CC1F,1.84,0.41,98.05,Valid
32,[C],C,0.64,0.36,16.03,Valid
33,[O][C][=C][C][Branch1][C][I][=C][C][=C][C][=C][N][=S][Ring1][=P][#Branch2],OC=CC(I)=CC=CC=CN=S,3.18,0.49,292.94,Valid
34,[C][N][C][C][C][C][O][C][=C][C][=C][C][=C][C][=C][C][N],CNCCCCOC=CC=CC=CC=CCN,2.14,0.35,236.19,Valid
35,[C][C][#Branch2][=C][S][Ring1][=Branch1],C=C,0.8,0.34,28.03,Valid
36,[C][C][C][=C][Ring1][=Branch1][C][=O][C][C][=C][C][=C][C][C][=C][C][=C][#Branch1][C][=C][C][C][=C][Ring1][I],C1CC=C1C=O,0.91,0.43,82.04,Valid
37,[C][Branch1][Branch2][Branch1][Ring1][Branch1][C][=Ring1][Ring1][F],C,0.64,0.36,16.03,Valid
38,[C][C][C][O][C][C][=C][C][Branch1][C][N][=C][C][=C][C][=C][C][=C][C][=C][Ring1][Branch1][C][Ring2][Branch1][N][=C][Ring1][#Branch2][=N][=Ring1],C1CCOCC=CC(N)=CC2=CC=C3C=CC=C3C1=C2N,3.19,0.78,280.16,Valid
39,[C][C][C][C][C][=C][Branch1][C][C][=N][C][=C][Ring1][N][Cl][C][C][=C][C][=C][Ring1][C][Ring1][Cl][=C][C][C][=Branch1][Ring2][F][Branch1],C1CCCC=C(C)NC=C1Cl,3.13,0.59,171.08,Valid
40,[N][C][C][C][=C][C][=C][Ring1][Branch1][=Branch1][C],NCC1C=CC=C1C,1.08,0.54,109.09,Valid
41,[C][C][C][=C][Ring1][=Branch1][C][=O][=Branch1][C][=O][Ring1][#N][PH1][F][#Branch1],C1CC=C1C=O,0.91,0.43,82.04,Valid
42,[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch2],C1CCC=CC=CC=C1,2.84,0.46,120.09,Valid
43,[N][C][=N][C][Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][Branch1][C][=Branch1][C][F][Ring1][N][=C][Ring1][C][=C][Ring1][=Branch2][C][C][S][Ring1],N1C=NC(C)C=C2C=CC=C2C1F,1.72,0.56,178.09,Valid
44,[C][Branch1],C,0.64,0.36,16.03,Valid
45,[C][=C][C][C][C][=C][C][=C][C][=C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][Branch2],C=CCCC=CC=CC=CCCC1CC=CC=CC=C1,6.09,0.28,266.2,Valid
46,[C][C][C][C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][C][C][Ring1][Ring1][=Branch1][=P],CCC1CC=CC=C1CCC=CC2CC2,4.65,0.57,202.17,Valid
47,[C][Branch1][Ring1][Ring2][N][C][C][N][Branch1][C][C][C][C][C][C][C][=C][C][=C][Ring1][=Branch1][C][=O][O][C][N],CCN(C)CCC1CC=CC=C1C=O,2.03,0.62,193.15,Valid
48,[=N][O][=C][C][C][=C][C][=C][C][=C][C][C][N][C][C][C][C][C][N],NOCCC=CC=CC=CCCNCCCCCN,2.04,0.27,267.23,Valid
49,[C][=C][PH1][Br],C=C[PH1]Br,2.12,0.49,137.92,Valid
50,[Cl][=C][C][=C][Branch1][C][C][C][O][C][Branch1][C][C][=C][Ring1][=Branch1][C][=O],ClCC=C(C1)COC(C)=C1C=O,2.04,0.37,186.04,Valid
51,[C][=C][C][Branch1][Branch2][N][C][C][=C][C][=C][C][=C][C][=C][Ring1][N][Ring1][Branch1],C=C1C(NCC=CC=C2C)=CC=C12,2.47,0.59,171.1,Valid
52,[C][C][C][Branch1][C][C][C][=C][C][N][C][=Branch1][C][Branch1][C][C][=Branch1],CCC(C)C=CCNCC,2.2,0.46,141.15,Valid
53,[O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=O][O][C][=C][Ring1][Branch1][C][C][C][=C][C][=C][Branch1][C][N][=C],OC1=CC=CC=C1C=O,1.2,0.57,122.04,Valid
54,[C][=C][Branch1][Branch2][#Branch2],C=C,0.8,0.34,28.03,Valid
55,[C][C][Branch1][C][Cl],CCCl,1.25,0.37,64.01,Valid
56,[C][=C][C][=C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][Branch1][C][C][C][C][C][NH1][=C][Ring1][=Branch1][=Ring1][S][#Branch1],C=CC1=CC=CC2=C(C)C=C2CC3CCC[NH1]C31,3.68,0.74,239.17,Valid
57,[C][C][=C][C][=C][Branch1][=N][C][=C][C][=C][Ring1][=Branch1][C][=O][O][C][=C][Branch1][C][C][=Branch1],CC=CC1=C(C=CC=C1C=O)CC,3.09,0.64,174.1,Valid
58,[C][C][Branch1][C][C][C][C][Ring1][N][C][N][C][C][C][Branch1][C],C1C(C)CC1CNCCC,2.03,0.59,141.15,Valid
59,[C][C][C][=C][Branch1][C][C][C][=C][C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][Branch1][Ring1][=P],CCC=C(C)C=CC(O)C=C1C=CC#C1,2.76,0.55,200.12,Valid
60,[O][=C][Branch1][=Branch2][C][N][C][C][C][C][Branch1][C][C][=Branch1][C][=O][Br][Branch1][C][F][=N][=P][=C][C][=N][=Ring1][O],O=C(CNCCCCC)C=O,0.53,0.33,157.11,Valid
61,[C][C][=N][Ring1][=Branch1][Ring1][#Branch2][Branch1][C][C][=C][Branch1][C][=Branch1][C],C1C=N1,0.07,0.36,41.03,Valid
62,[C][C][C][=C][Branch1][C][O][C][=C][C][C][C][=C][C][=Ring1][NH1][Branch1][C][Ring2][C][C][C][Branch1][=C][F],CCC=C(O)C=CCCC=C=C=CCF,4.01,0.3,208.13,Valid
63,[C][C][Branch1][C][C][#C][=Ring1],CC(C=1)=C=1,1.1,0.36,52.03,Valid
64,[C][=C][Branch1][C][C][=Branch1][=C][C][=C][C][=Ring1][I][C][C][Branch1][C][=Branch1][Branch1][C][C][=Branch1][C][N][=C][Ring1][Branch1][=N][O][C][#Branch2][Branch1],C=C(C)CC=C=CCC1(C)CN=C1NOC,2.62,0.44,220.16,Valid
65,[N][=C][C][=N][=Branch1][C][=Branch1][C][=O][C][=N][C][N][C][O][C][C][C][N][C][C][C][C][=C][Ring1][#Branch2][=N][Branch1][#C][Branch1][Ring1],N=CC=NC(=O)C=NCNCOCCCNCCCC=C=N,0.39,0.21,308.2,Valid
66,[C][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=N][Ring1][Branch1][C][C][C][C][C][=O][#Branch2],CNCC1=CC2=CC=C1C2,1.4,0.6,133.09,Valid
67,[N][C][=C][C][=C][C][=C][=S],NC=CC=CC=C=S,1.17,0.44,125.03,Valid
68,[N][C][=C][C][=C][C][Branch1][=N][=P][F][=Ring1][Branch1][C][N][C][N][Br],NC=CC=CCPF,1.58,0.46,133.05,Valid
69,[C][N][=Branch1][C][=C][Ring1][#Branch2][Ring1][Ring1][=Branch1][C][Ring1][=Branch1][C][=O][O][Ring1][Branch1][C][C][C][=C][C][=C][C][N],C=NC,0.32,0.35,43.04,Valid
70,[O][C][C][=C][C][=C][C][=N][#Branch2],OCC=CC=CC=N,0.74,0.41,111.07,Valid
71,[C][=Branch1][C][Ring1][=C][C][=C][C][=C][Branch1][C][C][=C][C][=Ring1][P][=Branch1][=Branch1][=Ring1][O][Ring1][I][=C][Ring1][Branch1][N][C][Ring1][Cl][=S][Branch1],C#1C=CC=C(C)CC#1,1.9,0.41,104.06,Valid
72,[O][C][C][=C][C][=C][C][C][=C][C][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][S][=Ring1][=O],OCC=CC=CCC=CC=CCC1=CC=CC=C1OC,3.84,0.73,270.16,Valid
73,[C][=C][C][Ring1][Branch1][C][C][=C][C][Branch1],C1=CC1CC=CC,2.14,0.46,94.08,Valid
74,[C][O][C][=C][Branch1][Branch2][Br][I],COC=CBr,1.5,0.5,135.95,Valid
75,[C][C][=C][C][=C][C][=C][C][N][=Ring1][Cl][=C][Branch1][C][=C][Ring1][N][Ring1][#Branch2][#Branch2][F],CC=CC=CC=CC#N,2.2,0.4,119.07,Valid
76,[C][C][C][Branch1][C][=Branch1],CCC,1.42,0.39,44.06,Valid
77,[C][=N][C][=C][C][=C][C][Branch1][C][Cl][=C][C][=C][Branch1][N][=C][C][=C][Branch1][C][C][C][C][=C][Ring1][#Branch2][Br][Branch1][=Branch1][Branch1][C],C=NC=CC=CC(Cl)=C1C=C(CC=C(C)CC=C1)Br,5.82,0.35,337.02,Valid
78,[O][C][=C][C][C][=C][Branch1][C][C][C][C][=C][C][=C][Ring1][Branch1][Ring1][Branch1][=C][Ring1][#Branch2][Ring1][=S][Branch1][C][C][N],OC=CCC=C(C)C=1C=CC=C=1,3.05,0.5,160.09,Valid
79,[C][C][C][=C][Ring1][Branch1][C][O][C][C][=C][Ring1][=Branch1][N][C][C][C][C][C][O][C][C][NH1],C1CC=C1COCC=CNCCCCCOCC[NH1],2.3,0.41,267.21,Valid
80,[C][C][N][C][=C][C][=C][Branch1][Br][N][=Ring1][#C],C1CNC=CC=C1N,0.34,0.47,110.08,Valid
81,[C][=C][Branch1][C][C][=Branch1],C=CC,1.19,0.36,42.05,Valid
82,[C][C][N][#Branch2],CCN,-0.03,0.41,45.06,Valid
83,[O][C][=C][C][C][Branch1][C][N][C][Branch1][C][N][C][N][C][C][=C][C][Branch1][C][=O][C][C][C][C][C][Ring1][N][=C][=C][Ring1],OC=CCC(N)C(N)C1NCC=CC(O)CCCCC1=C=C,1.26,0.31,307.23,Valid
84,[C][C][N][Ring1][=Branch1][C][F][O][C][C][=C][C][=C][C][Branch1][C][=C][C][=C][Ring1][#Branch1],C1CN1CF,0.23,0.32,75.05,Valid
85,[C][C][=C][C][Branch1][C][Branch1][C][C][C][Branch1][Branch1][C][C][C][C][C][Ring1][=N][F][=S][Branch1],C1C=CCCCC(CCCC)C1F,4.26,0.57,184.16,Valid
86,[C][C][C][C][=C][C][=C][Ring1][=N][=Ring1][Branch1][C][C][C][C][C][Ring1],C1CC2C=CC=C12,1.89,0.43,92.06,Valid
87,[PH1][O][C][C][=C][Ring1][=Branch1][C][=O][C][C][C][C][C][#Branch1][C][C][C][C][Ring1][N][=C][NH1][Branch1][=C][Ring1][N][S][C][S][=C],[PH1]1OCC=C1C=O,0.69,0.37,116.0,Valid
88,[C][C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Ring1][N][NH1][N][C][=C][Ring1][=Branch1][Ring1][=Branch1][C][O][Ring1][C][=O],C12CC=CC=C2C=CC3=C1[NH1]NC=C3,1.93,0.6,184.1,Valid
89,[C][Ring1][=Branch1][C][Ring2][Ring1][=Branch1][Branch1][C][C][Ring1],C#CC,0.64,0.35,40.03,Valid
90,[N][C][Branch1][C][C][C][=C][C][Branch1][C][C][C][=C][Ring1][Branch1][C],NC(C)C=C1C(C)C=C1C,1.86,0.59,137.12,Valid
91,[C][C][C][=C][C][=C][C][=C][Branch1][C][N][C][C][=C][C][=C][C][C][=C][Ring1][=Branch1][C][I][C][C][C][N][=C][Ring1][#Branch2][N],CCC=CC=CC=C(N)CC=C1C=CCC=C1CI,4.99,0.4,367.08,Valid
92,[I][=C][C][Branch1][C][C][=C][C][=C][Ring2][I][C][C][N][#Branch1][C][=C][C][=C][C][=C][C][C][N][=C][Ring1][#Branch2][=Branch2][Branch1][C][=S],ICC(C)=CC#CCN(C)C=CC=CCCN=CC=S,3.83,0.12,400.05,Valid
93,[N][C][=C][C][=C][C][=C][Branch1][C][O],NC=CC=CC=CO,1.09,0.41,111.07,Valid
94,[C][C][=C][C][Ring1][=Branch1][F],C1C=CC1F,1.28,0.38,72.04,Valid
95,[Br][C][C][C][C][=C][Ring1][Branch1][C][N][=Branch1][C][#Branch2][Ring1][Branch1][C][C],BrC1CC2C=C1CN2,1.05,0.43,172.98,Valid
96,[C][=C][#Branch2],C=C,0.8,0.34,28.03,Valid
97,[N][C][C][Ring1][=C][C][=C][C][=C][Branch1][NH1][Branch1][C][C][C][C][=C][C][=C][Ring1][Branch1][C][C][C][C][C][Ring1][=Branch1][I],N1CC1C=CC=CCCC2C=CC=C2CCCCCI,4.96,0.19,383.11,Valid
98,[N][=N][O][C][=C][Ring1][=Branch1][C][Ring2][=Ring1][=Ring1][=Ring1][Branch1][Branch2],N1=NOC=C1C,0.38,0.46,84.03,Valid
99,[Br][C][C][C][C][C][C][=C][Ring1][=Branch1][C][=O][=N][C][=C][Ring1][=Branch1][Ring1][N][C][C][C][=C][Ring1][Br],BrCC1CCCC=C1C=O,2.31,0.5,202.0,Valid
100,[O][C][=C][C][C][=C][C][N][=Branch1][C][Ring2][=C][C][=C][C][=C][C][=C][Ring1][Branch1],O1C=CCC=CCN1C2C=CC=C2,2.19,0.57,175.1,Valid
