Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
49,[C][=C][S][=P][S][Ring1][S][#N][=S][=O][=P][H][=Branch2][=S][H],C1=CS=PS1#N,1.54,0.38,136.95,Valid
50,[N][=Branch1][Br][#Branch2][=Branch1][=N][=N][O],NNO,-1.16,0.24,48.03,Valid
51,[C][#Branch2][=P][O][#N][Cl][Br][Ring1][=N][N][#N][#Branch1][N][=N][=N][Ring2][S][I][C],C(#N)NC,-0.31,0.3,56.04,Valid
52,[=C][Ring1][O][=S][I][C][Ring1][=C][=N],C=SI,1.23,0.32,173.9,Valid
53,[Ring1][Cl][=Branch2][Branch2][=Branch2][F][#N][Ring1][Br][=S][=S][N][H][#N][N][I][Br][Br][C][=N][=P][=C][#N][C][PH1][=PH1][S][S][#Branch2][Br][Ring1][#Branch1],ClF,1.11,0.39,53.97,Valid
54,[C][#Branch2][#Branch2][=C][#Branch2],C,0.64,0.36,16.03,Valid
55,[C][Ring1][=N][O][H][Ring2][=C][=Branch2][C][S][=PH1][Cl][F][=C][#Branch1][O][=PH1][O][H],CO[H],-0.39,0.39,32.03,Valid
56,[C][=C][Ring2][=P][Cl][#Branch2][Branch1][#N][#Branch2][P][Cl][C][=Branch1],C#CNC,-0.2,0.3,55.04,Valid
57,[C][S][=C][=PH1][#N][#Branch2][=Branch2][PH1][#Branch1][=S][#N][Ring1][=C][=S][=C][N][=Branch2][=S][#Branch1][=N][=C][#Branch2][S][C][=O][H][S][=P][=N][#Branch2][#Branch2][PH1],C1S=C=[PH1]=N[PH1]1=N,1.81,0.3,151.97,Valid
58,[H][O][Br][=N][=P][=PH1][N],[H]OBr,0.29,0.46,95.92,Valid
59,[=Ring1][C][Ring1][=C][#N][=S][=P][I][#N][Cl][Ring1][H][P][=S][Br][=P][=C][=Branch1][C][N][N][S][Branch2][Ring2][H][F][=Branch1][=N][=N][=C][#C][Cl],C#N,0.14,0.37,27.01,Valid
60,[S][#Branch1][#Branch2][#Branch2][C][Ring1][O][H][I][PH1][Br][=C][Branch1][#Branch1][N][Br][=N][=P][=N][Cl][=C][#N][=C][Branch1][=PH1][=C][Cl][S][PH1][#N][Ring1][=Ring1],S(O[H])(I)(NBr)=C=NC(C)Cl,2.65,0.13,359.82,Valid
61,[=N][C][=P][S][#N],NC=PS#N,0.78,0.46,105.98,Valid
62,[C],C,0.64,0.36,16.03,Valid
63,[C][F][Branch2][I][=P][#Branch1][#N][S][=O][S][Ring2][C][=Branch2],CF,0.59,0.37,34.02,Valid
64,[=O][=Branch2][#N][Br][Br][#Branch1][#Branch1][=S][=Ring1][O][N][NH1][C][H][Branch1][Branch2][#Branch1][=Branch1][Br][=P][#Branch1][=Ring1][P][=S][Cl][Branch1][=Branch2][Cl][C][#Branch1][=Ring1][S],O(Br)SN[NH1]C[H],0.6,0.28,171.93,Valid
65,[N][#Branch1][F][I][#Branch1][N][#Branch1][O][=P][=P][=Ring1][H][S][Br],N(I)NP#PSBr,2.58,0.33,331.78,Valid
66,[Branch1][S][C][Ring1][=Branch2][Branch1][=C][=C][Cl][Ring2][=N][N][Br][=Branch1][P][H][Branch2][=S][=S][=C][Cl][=Branch1][#Branch1][N][I],S=C(CCl)Cl,1.79,0.3,127.93,Valid
67,[N][N][=Branch1][=N][=C][C][Branch2][#Branch2],NNCC,-0.53,0.32,60.07,Valid
68,[N][=N][=Branch2][Cl][C][=C][S][=Branch1][#Branch2][I][=C][=S][Br][Ring1][=O][S][=C][I][#Branch2][H][F][Br][#C][#Branch2][#Branch2][PH1][=P][Cl][=N][#C][O][S],N=NCl,1.17,0.41,63.98,Valid
69,[=Ring1][S][#Branch1][NH1][#C][S][#Branch1][N],S(#C)S,1.15,0.33,77.96,Valid
70,[Ring1][I][S][=P][=N][Br][=Branch1][P][#Branch1],IS=P=NBr,2.24,0.4,284.79,Valid
71,[C][#Branch1][Cl][Ring1][=O][=N][Br][=S][Branch2][#Branch1][O][Cl][=N][N][PH1][O][=N][#Branch1][=Branch1][N][P][Cl][=P][Ring1][Branch2][C][C][Ring1][H][=P][C][O],CNBr,0.52,0.45,108.95,Valid
72,[Ring1][Cl][I][=Branch2][H][H][=P][Ring1][=C][C][Branch1][=C][Ring1][=N][=S][Cl][Branch1][=Branch2],ClI,1.58,0.47,161.87,Valid
73,[C][=N][N],C=NN,-0.44,0.22,44.04,Valid
74,[C],C,0.64,0.36,16.03,Valid
75,[NH1][Cl][=N][=Branch2][Branch1][Br][Br][=C],[NH1]Cl,0.42,0.38,49.98,Valid
76,[C][Ring1][Cl][=S][O][#Branch2],C=SO,0.36,0.31,64.0,Valid
77,[C][=P][H][Br][Branch2][#C][=O][O][P][F][=Branch1][=N][=P][#Branch2][Ring1][=N][Br][Br][#Branch2][=Ring1][Br][C][N][=C][PH1][#Branch1][#N][Branch1][#Branch2][N][Br][#N],C=P[H],0.56,0.35,46.0,Valid
78,[O][=N][=O][NH1][S][#Branch1][#Branch2][PH1][Br][O][Ring1][=P][Cl][C][S][N][Ring1][=S][#Branch2][N][#Branch1][N][Branch2][=S][=O][Cl][O],O=NO[NH1]S([PH1]Br)NS=O,0.37,0.24,268.87,Valid
79,[Branch2][S][Ring1][#Branch2],S,0.11,0.36,33.99,Valid
80,[Cl][F][S][O][=C][I][=P][#N][=Branch2][C][=C][#Branch2][Ring1][Ring1][=Ring1][Cl][=S][=S][=C][H][Branch2][N][H][O][=Branch2][#C][Ring1][H][O][#N][#C][=P],ClF,1.11,0.39,53.97,Valid
81,[C][=C][#N][C][=P][#Branch2],C=C=NC=P,0.74,0.33,85.01,Valid
82,,N/A,,,,
83,[S][N][Br][C][Ring1][Branch1][H][O][C][C][Branch2][P][=Branch1][Ring1][=C][=Ring1][=C][=C][Cl][N][#N][Br][=C][C][=S][Cl][S][I][#N][#Branch1][N][#N],SNBr,0.73,0.36,126.91,Valid
84,[C][C][S],CCS,0.94,0.4,62.02,Valid
85,[Br][Branch2][#N][=N][Ring1][=Ring1][=C][C][=Ring1][O][=S][=C][Branch1][=C][Cl][=N][Branch2][S][=C][C][=N][=PH1],BrN=N,1.33,0.46,107.93,Valid
86,[C][Branch2][C][F][Branch1][O][H][Ring1][C][=Branch2][Branch2][Ring1][Cl][C][Cl][PH1][S],CO[H],-0.39,0.39,32.03,Valid
87,,N/A,,,,
88,[=C][H][P][=C][=Branch2][=S][#Branch2][Ring1][=P][=Ring1][Branch2][C][S][Ring1][O][Cl][C][#N][Ring2][=N][P][=N][Branch1][N][Ring1][Br][=C][Ring1][I][Br][#Branch2][PH1],C[H],0.64,0.36,16.03,Valid
89,[C],C,0.64,0.36,16.03,Valid
90,[N][Br][=P][=C][Cl][=Ring1][#Branch2][C][O][H][Branch1][I][=C],NBr,0.26,0.43,94.94,Valid
91,[=C][C][H][=S][C][Branch2][N][=C][#Branch1][Ring1][N][N][Br][=N][=C][#N][Branch1][S][=N],CC[H],1.03,0.37,30.05,Valid
92,[N][#N][=S][I][Ring1][=O][=C][=C][=Branch1],N#N,0.03,0.35,28.01,Valid
93,[N][=N][=PH1][N][=Branch2][H][=Branch1][=Branch1][=C],N=N[PH1]NC,0.75,0.38,91.03,Valid
94,[C][S][=C][Ring1],CS#C,0.94,0.39,60.0,Valid
95,[#N][=P][N][Cl][Cl][=Ring1][Ring1][O][H][N][#Branch1][=PH1][#Branch2][N][Cl][=S][Br],N=PNCl,1.35,0.38,95.96,Valid
96,[C][#N][#Branch1][S],C#N,0.14,0.37,27.01,Valid
97,[N][=P][N],N=PN,0.57,0.4,62.0,Valid
98,[O][#C][S][Branch1][Br][Ring1][Branch1][Br],O=CSBr,1.22,0.51,139.89,Valid
99,[=Branch1][C][O][H][Cl][C][O][=O][Ring1][=C][=C][=C][#N][Cl][#N][PH1][#N][P][Ring2][C][F][F][#N][PH1][=S],CO[H],-0.39,0.39,32.03,Valid
100,[O][Branch2][=S][=PH1][S][=S][#N],O(S)S#N,0.98,0.36,94.95,Valid
