Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
15,[C][C][C][=C][C][C][C][=N][C][=C][C][C][C][=C][Ring1][=Branch1][Ring1][=Branch1][PH1][=Ring1][Ring1][Branch1][C][C][C][=C][C][C][C][C][=C],CCC=CCCC=NC1=CCCC=C1,4.04,0.35,189.15,Valid
16,[C][C][C][C][C][N][C][=N][C][C][Ring1][=Branch2][C][C][N][=C][C][=C][Ring1][=Branch1][C][C][C][C][=C][Ring1][=Branch1],CC1CCCNC=NCC1C2CN=CC=C2CCCC=C,3.63,0.61,287.24,Valid
17,[C][C][O][N][C][=C][C][=C][C][=C][C][=C][Branch1][C][=N][C][Branch1][=Branch2][C][=C][C][=C][Ring1][Branch1][C][=C][C][C][Ring1][=Branch1][=S],CCONC=CC=CC=CC=C(N)C1(C=CC2=C1C=C)CC2=S,3.81,0.31,326.15,Valid
18,[C][C][=C][C][=C][Branch1][C][=C][C][C][Branch1][=Branch2][=Branch2],CC=CC=C(C)CC,2.92,0.48,110.11,Valid
19,[C][C][C][C][=Branch1][PH1][N][C][C][C][Ring1][Branch1][PH1][C][=C][C][C][C][C][=C][C][C][=C][C][=C][Ring1][O],CCCC1(N)CCC1[PH1]C=C2CCCC=CCC=CC=C2,5.45,0.54,303.21,Valid
20,[C][#C][=P][P][Branch2][Branch1][C][C][C][=C][Ring1][Branch1][C][=C][Ring1][Br][O][C][#Branch1][#Branch1][#Branch1][C][Ring1][Branch1][C][=C][NH1][C][=C][C][=O],C#CP1PCC=C1C#COC(C=C)[NH1]C=CC=O,2.34,0.21,277.04,Valid
21,[C][#C][Ring1][Branch2],C#C,0.25,0.33,26.02,Valid
22,[C][#Branch2][S][#Branch1][C][C][=C][C][Ring1][=Branch1][Ring1][Branch1][#Branch2][=C][Branch1],C=1CC=CC=1C,1.89,0.42,80.06,Valid
23,[C][C][C][=C][C][Branch1][=N][C][=C][C][C][=N][C][=C][Ring1][=Branch1][=P][Branch1][Ring1][=Branch2][Br][F][P][=C][Ring1][Branch1][C][=N][C][=C][Ring1],CCC=CC(C=C1CC=NC=C1PBr)F,4.52,0.53,289.0,Valid
24,[C][C][C][Ring1][=Branch1][C][N][C][#C][C][=C][C][=C][=N][C][=C][C][=C][C][=C][C][Ring1][Branch1][Ring1][=Branch1][C][#C],C1CC1CNC#CC=CC=C=NC=C2C3=CC=CC32C#C,2.74,0.36,272.13,Valid
25,[C][C][C][Branch1],CCC,1.42,0.39,44.06,Valid
26,[C][#C][C][O][C][N][=C][C][=C][=C][Ring1][=Branch1][=C][C][C][=C][C][O][C][C][C][=O],C#CCOC1N=CC=C=C1CCC=CCOCCC=O,2.07,0.2,273.14,Valid
27,[C][C][=C][C][=C][C][O][C][C][=C][C][C][=C][Ring1][=Branch1][C][=C][Ring1][=Branch1][C][C][C][C][C][=C][Ring1][Branch1][C][Ring1][=Branch1],CC=CC=CCOC1C=C2CC=C1C=C2CC34CCC=C3C4,5.2,0.48,292.18,Valid
28,[C][C][C][=C][C][C][N][C][C][=C][C][=C][Branch1][=Branch2][PH1][Branch1][C][C][O][NH1][C][C][=C][N][C][C][C][N][C][C][=O],CCC=CCCNCC=CC=C([PH1](C)O[NH1]CC)CNCCCNCC=O,2.44,0.07,399.29,Valid
29,[C][C][=C][N][C][C][C][C][C][=N][O][C][N][C][=C][Ring1][NH1][C][Ring1][=Branch1][C][=C][Ring1][C][C][=C][=Ring1],CC=CNCCCCC=NOCNC#CCC#CC#C,1.82,0.17,271.17,Valid
30,[C][C][=C][C][N][=S][=O][O][C][=C][Branch1][C][N][Branch1][C][=C][Ring1][#Branch1][O][=C][C][C][C][=C][C][=C][C][C][C][C][=C],CC=CCN=S=O,0.96,0.5,117.02,Valid
31,[C][#C][C][O][C][O][N][C][O][C][=C][C][=C][C][=C][Ring1][NH1][C][=C][C][Ring1][=Branch1][C][=C][Ring1][#Branch1][=Branch1][C][Ring1][Branch1][C],C#CCOCONCOC=CC=C1C#CC=C2C1C=CC2C,2.29,0.19,297.14,Valid
32,[C],C,0.64,0.36,16.03,Valid
33,[C][C][C][=N][O][C][C][=C][C][=C][Ring1][Branch1][C][C][C][C][=C][Ring1][=Branch1][C][Branch2][C][C][=C][Ring1][=Branch1][C][C][C][=C][C],CCC=NOC1C=CC=C1C2CCC=CC2(C)CCC=CC,5.59,0.34,299.22,Valid
34,[C][F][=Ring1][C][N][I][Ring1][=Branch1][C][C][C][=C][C][=C][Ring1][=Branch1],CF,0.59,0.37,34.02,Valid
35,[C][C][#Branch1][=Branch1],CC,1.03,0.37,30.05,Valid
36,[C][C][C][=C][C][C][C][=N][N][C][=C][C][C][=C][Ring1][=Branch1][C][=C][#Branch1][Branch1][=P][Cl][F][=Branch1],CCC=CCCC=NN1C=CCC=C1C=CPCl,5.17,0.27,282.11,Valid
37,[C][C][=C][C][N][C][C][=C][Ring1][Branch1][O][C][I][=C][C][Ring1][=Branch1],CC=CC1NCC=C1OCI,1.83,0.48,265.0,Valid
38,[C][C][C][O][C][N][C][C][PH1][=O][O][=C][C][=C][O][=N][C][=C][C][=C][Ring1][=S][C][Ring1][=Branch1],CCCOCNCC[PH1]=O,0.98,0.35,164.08,Valid
39,[C][C][C][C][C][=C][Branch1][C][C][=C][C][=C][Ring1][C][C][C][NH1][C][=C][Ring1][=Branch1][P][P][Branch2][C][=C][Ring1][#Branch1][Ring2][Branch2][C],CCCCC=C(C)CC#CC1C[NH1]C=CPP1,4.23,0.35,267.13,Valid
40,[C][C][C][C][=C][C][=C][C][C][=C][C][Ring1][Branch2][=Branch1][C][=C][Ring1][=Branch1],CCCC1=CC2=CCC=CC12C,3.62,0.54,160.13,Valid
41,[C][C][C][=C][C][=C][C][=C][Branch1][C][=C][Ring1][=Branch1][C][C][=Branch1][Cl][#C][Ring1][=Branch1][=N][O][C][Ring1][O][C][=C][=P][=O][C][N],CCC1=CC=CC=C1C,2.56,0.53,120.09,Valid
42,[C][C][C][C][=C][C][=C][C][C][Ring1][=Branch2],C1CCC=CC=CCC1,3.06,0.46,122.11,Valid
43,[C][C][C][C][C][C][=C][C][=C][N][=S][PH1][=Ring1][P][Cl][PH1][#Branch2][=Ring1][N][N][C][=C][Ring1][=Branch1][C][Branch1][C][C][C][Ring1][C],C=1CCCCC=CC=CN=S[PH1]=1Cl,3.71,0.49,235.04,Valid
44,[C][C][O][N][C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch1],CCON1C2C=CC=C1C2,1.47,0.57,137.08,Valid
45,[C][C][C][N][Ring1][=Branch1][C][C][=C][C][C][Ring1][=Branch1][C][C][=C][C][=C][C][C][C][C][N][C][=C][Ring1][=N][C][=C][C][=C],C1CCN1CC=CCC2CC=CC=CCCCCNC=C2C=CC=C,5.16,0.53,338.27,Valid
46,[C][C][C][C][C][=C][C][=C][Ring1][=Branch1][NH1][C][C][=C][C][Ring1][Branch1],CCC1CC=CC=C1[NH1]CC=CC,3.02,0.65,177.15,Valid
47,[C][C][N][Ring1][Branch1][O][C][C][C][C][C][C][C][C][C][C][=C][C][=O][O][C][C][=C][Ring1][=Branch1],C1CN1OCCCCCCCCCC=CC=O,3.11,0.23,239.19,Valid
48,[Branch1][Ring1][#Branch1][Br][Ring2][#N][=O][C][C][=C][C][N][Ring1][C][C][=C][Ring1][=C][Ring1][N][C][C][=C][C][C][C][=C][C][=C][Ring1][=Branch1],Br,0.58,0.4,79.93,Valid
49,[C][Branch1][O][C][N][O],CCNO,-0.01,0.42,61.05,Valid
50,[C][=C][Branch1][=P][=C][C][=C][C][Ring1][=Branch1][Ring1][=Branch2][C][=C][Ring1][=Branch1][C][=C][Ring1][Branch1][=P][N][C][C][C][C][C][=C][Ring1][Branch1][C],C=1=C(C2)C=CC=1C=C2C=CPNCC3CCC=C3C,4.39,0.34,269.13,Valid
51,[C][#C][C][N][=C][C][=N][O][C][Branch1][Branch2][#N][O][C][=C][Ring1][Branch2][C][Branch1][Ring2][I],C#CCN=CC1=NOC(NOC=C1C)I,1.22,0.27,318.98,Valid
52,[C][C][C][C][C][C][N][C][=C][Ring1][Branch1][#Branch1][=N][O][C][C][=Branch1][PH1][Branch1][C][=O][=N][Cl][F][O],CCCCC1CNC=C1NOCC(O)NCl,0.82,0.29,249.12,Valid
53,[C][C][=C][C][=C][C][=C][C][C][=C][C][C][C][=C][Ring1][=Branch2][C][=C][C][=C][C][=C][C][C][Cl][C][Ring1][Branch2][#N][C][I],CC=CC=CC1=CCC=CCCC=C1C=CC=CC=CCCCl,7.01,0.27,326.18,Valid
54,[C][#C][=C][C][#C][Ring2][#Branch2],C1#CCC#C1,0.4,0.36,62.02,Valid
55,[C][C][C][C][C][N][C][=C][C][N][C][C][C][=C][Branch1][C][=C][Ring1][Branch1][N][C][C][C][C][N][C][Branch1][C][=C][C][=C],CCCCCNC=CCN1CCC=C1C,2.89,0.65,208.19,Valid
56,[C][=C][C][=C][C][=C][C][=C][C][C][Branch1][C][=C][Ring1][Branch1][C][Branch1][C][=C][C][C][=C][Ring1][=Branch1][C][O][#Branch2],C=CC=CC=C1C=CCC1(C2)C(C)CC=C2CO,3.95,0.59,242.17,Valid
57,[C][C][=C][Branch1][Branch2][=Branch1][Branch1][C][=C][C][=C][Ring1][#C][C][=C][Ring1][=Branch1][C][=C][C][C][=C][Ring1][=Branch1][C][C][Ring1][=Branch1][C][=C][C],C1C=C(C2=CC=C1)C=C2C=C3CC=CCC3C=CC,5.21,0.59,248.16,Valid
58,[C][C][C][=C][C][=C][C][Ring1][Branch1][C][N][Br],CCC1=CC=CC1CNBr,2.41,0.69,201.02,Valid
59,[C][C][C][=N][=S][=Ring1][=N][O][=S][C][N][C][N][C][=O][C][=C][C][=C][Ring1][=S][Ring1][=Branch2],C=1CC=NS=1OSCNCNC=O,0.28,0.21,221.03,Valid
60,[N][=C][=Ring1][=Branch1][C][N][C][C][C][N][C][=C][C][=Branch1][C][=C][C][=C][C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][Branch2][=C][Ring1],N#C,0.14,0.37,27.01,Valid
61,[C][C][C][N][=Ring1][Ring1][#Branch2][C][Branch1][C][=C][Branch1][C][=C][C][Ring1][=Branch1][Ring2][#Branch2][NH1][C][F][Ring1][=Branch1],CC=1CN=1,0.46,0.38,55.04,Valid
62,[C][C][C][Branch1][=Branch2][S][S][Branch1][Branch1][Branch2][S],CCCSSS,2.62,0.36,139.98,Valid
63,[C][C][C][C][=N][#Branch2][#N][Ring2][=Branch1],C1CCC=NN1,0.36,0.45,84.07,Valid
64,[C][Branch1][=O][Branch1][C][#C][=Branch2][C][C][C][C][C][Branch2][C][=C][C][=Branch1][=Ring1][Branch1][C][=C][O][I][=N][O][C][=C][Ring1][=Branch1][#Branch2][Branch2],CC#CCCCCCC(C)OI,3.72,0.41,280.03,Valid
65,[C][#C][C][N][=Branch2][C][=C][C][=C][C][=C][Ring1][N][C][Ring1][=Branch1],C1#CCN2C=CC=C1C2,0.76,0.42,117.06,Valid
66,[C][N][C][C][=C][C][=C][C][C][N][C][C][=C][C][N][C][=O][=Ring1][=S][=N][O][=C][#C][C][=Ring1][S][Branch2][=C][Ring1][=Branch1][C],CNCC=CC=CCCNCC=CCNC=O,0.6,0.21,237.18,Valid
67,[C][C][=C][Branch2][=P][C][C][=C],CC=C(C)C,1.97,0.38,70.08,Valid
68,[C][C][=C][C][C][=C][C][=C][Branch2][C][=C][C][=N][O][C][O][C][C][=C][Ring1][=O][Branch1][=S][#Branch2][#N][P][=C][Ring1][=Branch1][=Ring1][I],CC=CCC=CC=CC=NOCOCC#CS#C,3.32,0.13,263.1,Valid
69,[C][C][#C][C][=C][Ring1][#Branch2][PH1][S][=Branch1][Ring1][Branch1][C][=C][C][C][O][C][C][=C][C][=C][Ring1][=Branch1][C][C][C][N][=C][C][=Branch1],C1C#CC=C1[PH1]S(C)CCOCC=CC=CCCCN=CC,4.5,0.14,337.16,Valid
70,[C][C][F][C][=N][N][Branch1][C][=Branch1],CCF,0.98,0.38,48.04,Valid
71,[C][#Branch2][NH1][C][=O][=O][C][Branch1][C][=C][Ring1][Branch1][C][C][C][C][=C][Branch1][Br][PH1][O][N][C][C][=N][O][C][Ring1][=N][C][C],C1(=O)OC1(C)C2CCC=C([PH1])ONCC=NOC2CC,2.0,0.62,299.12,Valid
72,[C][C][C][=C][C][C][=C][C][=C][Ring1][=Branch1][C][N][C][C][C][C][=C][Ring1][=Branch1][O][C][=C][Ring1][=Branch1][C][Ring1][#Branch1][P][F][Ring1],CCC=C1CC=CC=C1CN2CCC34C=C2OC=C3C4PF,4.6,0.7,317.13,Valid
73,[C][C][C][Ring1][Branch1][C][C][C][C][C][Ring1][=Branch1][C][=C][C][C][C][=C][C][C][=C][Ring2][=S][P][C][Branch1][C][C][C][C][N],C12CC13CCCCC3C=CCCC=CCC=C2C(C)CCN,5.39,0.69,299.26,Valid
74,[C][N][C][=C][Branch1][C][=C][C][N][C][=C][C][=C][C][C][=C][C][=N][O][N][C][=C][C][=C][Ring1][=Branch1][C][=C][F][C][#C],CNC=C(C)CNC=CC=CCC=CC=NONC=CC=CC=CF,3.78,0.21,346.22,Valid
75,[C][C][C][=C][C][C][Branch1][C][Ring1][=Branch1][Ring1][=Branch1][=N][NH1][=C][C][C][C][=C][#Branch1][C][Ring1][#Branch2],C=1CC=C2CC=1N[NH1]CCCC=C2,2.03,0.59,176.13,Valid
76,[C][C][C][C][C][=C][N][C][=C][C][C][=C][C][=N][O][O][#Branch2][NH1][C][C][=C][Ring1][Branch1][#Branch2][C][=C][C][C][=C][Ring1][Branch1],CCCCC=CNC=CCC=CC=NOO[NH1]CC=CC1=CCC=C1,4.62,0.21,343.23,Valid
77,[C][C][C][C][C][=C][C][C][C][C][=C][C][=C][Branch1][O][C][=C][Ring1][=Branch1][C][=C][Ring1][=N][C][Cl][#C][Branch1][C][=C][Ring1][=Branch1],CCCCC1=CCCCC2=CC=C(C=C2C=C1CCl)CC,6.32,0.56,302.18,Valid
78,[C][C][C][C][N][#C][=C][O][C][C][N][Branch1][C][Branch1][Ring1][=S][Ring2][=O][#C][C][=C][Ring1][=Branch1][I][=C][C][C][Ring1][Branch1][C][=C],CCCCN=C=COCC=N,1.64,0.35,154.11,Valid
79,[C][C][C][=C][Ring1][Branch1][C][C][C][C][=C][Ring1][=Branch1][C][C][C][C][=C][C][N][C][C][C][C][=C][Ring1][#Branch1][O][C][=C][C],C1CC=C1CCCC=CCCCC=CC2NCCCC=C2OC=CC,6.35,0.27,341.27,Valid
80,[C][C][N][C][=C][C][=C][Branch1][C][C][=C][Branch1][Cl],CCNC=CC=C(C)C,2.08,0.57,125.12,Valid
81,[C][C][=C][C][=C][Branch1],CC=CC=C,1.75,0.41,68.06,Valid
82,[C][C][N][#Branch2][O][C][=C][C][=C][Ring1][=S][P][#N][C][C][=C][C][=C][C][N][C][C][Branch2][O][C][=C][Ring1][=Branch1][C][C][=C],CCNCC#CP#N,0.71,0.34,128.05,Valid
83,[N][C][C][C][C][C][C][C][C][Branch1][C][C][=C][Ring1][=Branch1][C][=C][C][C][C][=C][PH1][=N][O][C][C][Ring1][Branch1][=C][Branch1][C],NCCCCC1CCC(C)=C1C=CCCC=C[PH1]2=NOCC2=C,5.55,0.44,334.22,Valid
84,[C][C][N],CCN,-0.03,0.41,45.06,Valid
85,[C][C][=C][C][F][C][=C][C][=N][O][C][=C][C][=C][Ring1][=Branch1][P][O][C][C][=C][C],CC=CCF,1.53,0.41,74.05,Valid
86,[C][C][C][C][C][C][C][N][C][=C][C][N][C][C][C][C][Ring1][Ring2][#C][Branch1][=C][Branch1][C][N][C][#C][C][=C][=P][Branch1],CCCCCCCNC=CCNC1CCC1=CCNC#CC=C=P,3.39,0.17,345.23,Valid
87,[O][C][C][C][=C][C][=C][C][C][=N][O][C][=C][C][#Branch1][C][PH1][P][Branch1][S][O][=C][Ring1][=Branch1][=N][O][I][Ring1][=Branch1],OCCC=CC=CCC=NOC=C1C([PH1])POC1=NOI,3.53,0.16,440.96,Valid
88,[C][C][C][=C][C][C][=C][Ring1][=Branch1][C][C][=N][Ring1][Branch2][N][C][C][=C][Ring1][=Branch1],CC1C2=CCC=C1CC=N2,2.31,0.45,133.09,Valid
89,[C][Ring1][=Branch1][C][N][O][C][=C][C][C][Ring1][S][#N][=N][O][C][=C][Ring1][=Branch1][C][=C][C][C][=C][C][C][C][=C][Ring1][=Branch1][C],C1CNOC=CCC1=NNOC=CC=CCC2=CCCC=C2C,3.82,0.34,315.19,Valid
90,[C][C][C][=C][C][=N][=Ring1][NH1][C][C][=C][C][=C][Ring1][Branch1][C][Ring1][=Branch1][NH1][Ring1][=Branch1][C][C][C][=C][Ring1][=Branch1][#Branch1][C][C][P],CCC=CC#N,1.48,0.44,81.06,Valid
91,[C][C][C][Branch1][C][C][C][=C][Branch1][C][C][C][=N][C][=C][C][C][O][C][Ring1][=Branch1][C][C][=C][C][C][C][=C][Ring1][#Branch2][P],CCC(C)C=C(C)C=NC1=CCC2OC1CC=CCCC=C2P,5.59,0.37,331.21,Valid
92,[C][=C][Branch1][C][N][Branch1][C][=C][C][Ring1][Branch1][C][C][C][#Branch1][C][=C][C][C][=C][C][C][C][F][=C][Ring1][#Branch2][#N][C][C][=C],C=C(N)C=CCCCC(=C)CC=CCCCF,4.44,0.34,237.19,Valid
93,[C][C][Branch1][C][=C][C][=C][Branch2][Branch1][O],CC(C)C=C,1.83,0.41,70.08,Valid
94,[C][C][=C][C][Ring1][=Branch1][C][C][C][C][C][C][=O][O][C][=C][Branch1][C][=C][Ring1][=Branch1][Ring2][I][=C][Ring1][P][Branch1],C1C=CC1CCCCCC=O,2.71,0.32,152.12,Valid
95,[C][C][C][C][C][=N][O][C][C][C][=C][C][=Branch1][C][Branch1][C][=C][S][Branch1][C][=O][Ring1][=N][O][N][C][C][C][C][C][C],CC1CCC=NOCCC=CC(C)S1(O)ONCCCCCC,4.8,0.39,346.23,Valid
96,[C][#C][#Branch2][Ring1][C][C][N][C][C][C][C][=C][C][=C][Ring1][S][Branch1][C][=C][C][=O][=C][C][C][Branch1][C][Ring1][=C][Ring1][=Branch1][C],C#C,0.25,0.33,26.02,Valid
97,[C][C][C][Ring1][=Branch1],C1CC1,1.17,0.38,42.05,Valid
98,[C][#C][Ring1][Branch1][C][O][C][C][O][C][=C][C][=C][C],C#C,0.25,0.33,26.02,Valid
99,[C][C][C][C][C][C][C][=C][Ring1][=Branch1][C][=C][C][C][=C][Ring1][=Branch1],CCC1CCCC=C1C=CCC=C,4.26,0.56,176.16,Valid
100,[C][C][C][=C][Ring1][=Branch1][C][Ring1][#Branch1][C][Ring1][=Branch1][C][C][=C][C][C][C][C][C][Ring1][=Branch1][C][=C][C][C][Branch1][C][=C][C][N],C123CC=C1C2C3CC=C4CCCCC4C=CCC(C)CN,4.61,0.71,283.23,Valid
